response,context,context/0,context/1,context/2,context/3,context/4,context/5
mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !,haftay ke aakhir mein koi mansoobah hai ?,haae,"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon .","to, kya aap aksar khazanay ka shikaar karte hain ?",""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain .","zabardast! yeh dilchasp hai, border line daraona hai .","mere khayaal mein yeh chhutti hiss ki terhan hai, jisay aksar logon ke liye"" cold reading"" ke tor par dekha jata hai, lekin yeh qabil zikar had tak durust ho sakta hai. mein aik baar kaafi mein aik aadmi ke paas betha aur mujhe apni kamar mein dard mehsoos sunhwa. mein ne ajnabi se poocha ke kya usay dard hai? yeh pata chalta hai ke is ne ain mauqa par kya tha, aur kaha ke is ne aik party mein raqs karte hue aik pathon ko khech liya. mein is se pehlay kabhi nahi mila tha aur nah hi usay dobarah dekha tha ."
Enter Urdu text to convert it to Roman Urdu text.,mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !,haftay ke aakhir mein koi mansoobah hai ?,haae,"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon .","to, kya aap aksar khazanay ka shikaar karte hain ?",""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain .","zabardast! yeh dilchasp hai, border line daraona hai ."
bohat dhoop hona chahiye! tum ?,Enter Urdu text to convert it to Roman Urdu text.,mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !,haftay ke aakhir mein koi mansoobah hai ?,haae,"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon .","to, kya aap aksar khazanay ka shikaar karte hain ?",""" trisr hinting"" Nami yeh mashq hai jo aik tafrehi khail hai jisay aap awaami jagah par khailtay hain."" di altimit trisr hint"" Nami aik kitaab hai jo is ke baray mein baat karti hai. aap apni takhleeqi salahiyaton ko un logon ka tasawwur karne ke liye istemaal karte hain jin se aap milein ge, aur aap aik tafseel likhte hain, phir aap un ko misbet pegham ya hosla afzaa lafz se jor dete hain. ho sakta hai ke aap ne apne takhayyul mein shopping maal mein surkh topi mein aik no umar larke ko dekha ho, phir maal mein rehtay hue, aap ko koi aisa shakhs mil sakta hai jo is tafseel se mil khata ho. aap zahir karte hain ke aap ke paas is ke liye aik pegham hai aur aap ke paas surkh topi walay larke ke liye pegham hai. phir aap usay meharbani ka pegham den ya jo kuch aap ke dil mein tha. aap ko koi andaza nahi hai, kabhi kabhi aap kisi aisay shakhs se mlitay hain jo waqai mushkil din guzaar raha hota hai, aur kisi ajnabi ko un se mohabbat ka izhaar karne se woh rotay hain ."
thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .,bohat dhoop hona chahiye! tum ?,Enter Urdu text to convert it to Roman Urdu text.,mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !,haftay ke aakhir mein koi mansoobah hai ?,haae,"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon .","to, kya aap aksar khazanay ka shikaar karte hain ?"
umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !,thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .,bohat dhoop hona chahiye! tum ?,Enter Urdu text to convert it to Roman Urdu text.,mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !,haftay ke aakhir mein koi mansoobah hai ?,haae,"mein ne is waqt ziyada kya jab mein grade school mein tha aur ziyada waqt tha. mein umooman doston ke sath jata tha. thori der ke liye mein har haftay santa cruise ke kisanon ke bazaar mein jata aur yeh mehsoos karne ki koshish karta ke kya koi aisi cheez hai jo mujhe kisi ajnabi ko batani hai. aam tor par, woh mabham umeed se bharay paighamaat hotay hain, lekin yeh ajeeb hota hai jab mein kuch ajeeb o ghareeb makhsoos baat ko dhaka deta hon ."
"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?",umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !,thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .,bohat dhoop hona chahiye! tum ?,Enter Urdu text to convert it to Roman Urdu text.,mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !,haftay ke aakhir mein koi mansoobah hai ?,haae
mein  ja raha hon !,"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?",umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !,thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .,bohat dhoop hona chahiye! tum ?,Enter Urdu text to convert it to Roman Urdu text.,mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !,haftay ke aakhir mein koi mansoobah hai ?
"acha, woh jagah kahan hai? mein wahan nahi gaya hon .",mein  ja raha hon !,"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?",umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !,thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .,bohat dhoop hona chahiye! tum ?,Enter Urdu text to convert it to Roman Urdu text.,mere dost is haftay ke aakhir mein mujh se milnay ja rahay hain. hum paidal safar par ja satke hain !
yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein,"acha, woh jagah kahan hai? mein wahan nahi gaya hon .",mein  ja raha hon !,"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?",umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !,thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .,bohat dhoop hona chahiye! tum ?,Enter Urdu text to convert it to Roman Urdu text.
acha hai! izafah kab tak hai ?,yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein,"acha, woh jagah kahan hai? mein wahan nahi gaya hon .",mein  ja raha hon !,"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?",umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !,thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .,bohat dhoop hona chahiye! tum ?
"asal mein koi andaza nahi, lekin is ke liye poora din lagey ga .",acha hai! izafah kab tak hai ?,yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein,"acha, woh jagah kahan hai? mein wahan nahi gaya hon .",mein  ja raha hon !,"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?",umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !,thanda! bohat afsurdah karne walay mansoobay. .. ghar rahen aur kaam karen mere paas project ki aakhri tareekh bohat qareeb hai .
acha! maza lagta hai !,"asal mein koi andaza nahi, lekin is ke liye poora din lagey ga .",acha hai! izafah kab tak hai ?,yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein,"acha, woh jagah kahan hai? mein wahan nahi gaya hon .",mein  ja raha hon !,"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?",umeed hai ke aap apna kaam jald mukammal kar len ge! aik big free wake and !
haae !,acha! maza lagta hai !,"asal mein koi andaza nahi, lekin is ke liye poora din lagey ga .",acha hai! izafah kab tak hai ?,yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein,"acha, woh jagah kahan hai? mein wahan nahi gaya hon .",mein  ja raha hon !,"theek hai, bohat fikar mand! aap ka paidal safar ke liye kahan jane ka iradah hai ?"
arrey wahan! kya chal raha hai? ? ?,haae !,acha! maza lagta hai !,"asal mein koi andaza nahi, lekin is ke liye poora din lagey ga .",acha hai! izafah kab tak hai ?,yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein,"acha, woh jagah kahan hai? mein wahan nahi gaya hon .",mein  ja raha hon !
"kuch ziyada nahi, aap kaisay kar rahay hain ?",arrey wahan! kya chal raha hai? ? ?,haae !,acha! maza lagta hai !,"asal mein koi andaza nahi, lekin is ke liye poora din lagey ga .",acha hai! izafah kab tak hai ?,yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein,"acha, woh jagah kahan hai? mein wahan nahi gaya hon ."
d,"kuch ziyada nahi, aap kaisay kar rahay hain ?",arrey wahan! kya chal raha hai? ? ?,haae !,acha! maza lagta hai !,"asal mein koi andaza nahi, lekin is ke liye poora din lagey ga .",acha hai! izafah kab tak hai ?,yahan se ghantay ki drive ab bhi khaleej ke ilaqay mein
