response,context,context/0,context/1,context/2,context/3,context/4,context/5
tum school kahan ja rahay ho ?,mein ne haal hi mein school shuru kya .,mein behtar nahi sunhwa apne baray mein kya khayaal hai ?,aap ke sath sab acha raha hai ?,"mein bilkul pyara hon, shukriya .",mein bohat acha kar raha hon aap ke baray mein kya hai,aaj aap kaisay hain,is ke sath achi qismat .
mein pi si si par ja raha hon .,tum school kahan ja rahay ho ?,mein ne haal hi mein school shuru kya .,mein behtar nahi sunhwa apne baray mein kya khayaal hai ?,aap ke sath sab acha raha hai ?,"mein bilkul pyara hon, shukriya .",mein bohat acha kar raha hon aap ke baray mein kya hai,aaj aap kaisay hain
tum abhi tak usay kaisay pasand karte ho ?,mein pi si si par ja raha hon .,tum school kahan ja rahay ho ?,mein ne haal hi mein school shuru kya .,mein behtar nahi sunhwa apne baray mein kya khayaal hai ?,aap ke sath sab acha raha hai ?,"mein bilkul pyara hon, shukriya .",mein bohat acha kar raha hon aap ke baray mein kya hai
mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .,tum abhi tak usay kaisay pasand karte ho ?,mein pi si si par ja raha hon .,tum school kahan ja rahay ho ?,mein ne haal hi mein school shuru kya .,mein behtar nahi sunhwa apne baray mein kya khayaal hai ?,aap ke sath sab acha raha hai ?,"mein bilkul pyara hon, shukriya ."
aaj aik badsoorat din hai .,mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .,tum abhi tak usay kaisay pasand karte ho ?,mein pi si si par ja raha hon .,tum school kahan ja rahay ho ?,mein ne haal hi mein school shuru kya .,mein behtar nahi sunhwa apne baray mein kya khayaal hai ?,aap ke sath sab acha raha hai ?
mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .,aaj aik badsoorat din hai .,mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .,tum abhi tak usay kaisay pasand karte ho ?,mein pi si si par ja raha hon .,tum school kahan ja rahay ho ?,mein ne haal hi mein school shuru kya .,mein behtar nahi sunhwa apne baray mein kya khayaal hai ?
"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye .",mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .,aaj aik badsoorat din hai .,mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .,tum abhi tak usay kaisay pasand karte ho ?,mein pi si si par ja raha hon .,tum school kahan ja rahay ho ?,mein ne haal hi mein school shuru kya .
yeh ajeeb ho ga .,"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye .",mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .,aaj aik badsoorat din hai .,mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .,tum abhi tak usay kaisay pasand karte ho ?,mein pi si si par ja raha hon .,tum school kahan ja rahay ho ?
"haan, khaas tor par chunkay yeh nawway degree bahar hai .",yeh ajeeb ho ga .,"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye .",mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .,aaj aik badsoorat din hai .,mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .,tum abhi tak usay kaisay pasand karte ho ?,mein pi si si par ja raha hon .
"mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga .","haan, khaas tor par chunkay yeh nawway degree bahar hai .",yeh ajeeb ho ga .,"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye .",mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .,aaj aik badsoorat din hai .,mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .,tum abhi tak usay kaisay pasand karte ho ?
"jee haan, yeh ho ga .","mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga .","haan, khaas tor par chunkay yeh nawway degree bahar hai .",yeh ajeeb ho ga .,"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye .",mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .,aaj aik badsoorat din hai .,mujhe ab tak yeh pasand hai. meri classain abhi bohat achi hain .
kash yeh har roz itni garam nah hoti .,"jee haan, yeh ho ga .","mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga .","haan, khaas tor par chunkay yeh nawway degree bahar hai .",yeh ajeeb ho ga .,"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye .",mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .,aaj aik badsoorat din hai .
mein bhi. mein sardiyoon tak intzaar nahi kar sakta .,kash yeh har roz itni garam nah hoti .,"jee haan, yeh ho ga .","mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga .","haan, khaas tor par chunkay yeh nawway degree bahar hai .",yeh ajeeb ho ga .,"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye .",mein jaanta hon. mujhe lagta hai ke barish ho sakti hai .
"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai .",mein bhi. mein sardiyoon tak intzaar nahi kar sakta .,kash yeh har roz itni garam nah hoti .,"jee haan, yeh ho ga .","mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga .","haan, khaas tor par chunkay yeh nawway degree bahar hai .",yeh ajeeb ho ga .,"yeh garmiyon ka wast hai, aaj barish nahi honi chahiye ."
mein garam ki bajaye thanda hona pasand karoon ga .,"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai .",mein bhi. mein sardiyoon tak intzaar nahi kar sakta .,kash yeh har roz itni garam nah hoti .,"jee haan, yeh ho ga .","mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga .","haan, khaas tor par chunkay yeh nawway degree bahar hai .",yeh ajeeb ho ga .
aaj bahar bohat acha nahi lagta .,mein garam ki bajaye thanda hona pasand karoon ga .,"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai .",mein bhi. mein sardiyoon tak intzaar nahi kar sakta .,kash yeh har roz itni garam nah hoti .,"jee haan, yeh ho ga .","mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga .","haan, khaas tor par chunkay yeh nawway degree bahar hai ."
aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .,aaj bahar bohat acha nahi lagta .,mein garam ki bajaye thanda hona pasand karoon ga .,"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai .",mein bhi. mein sardiyoon tak intzaar nahi kar sakta .,kash yeh har roz itni garam nah hoti .,"jee haan, yeh ho ga .","mein jaanta hon, agar barish hoti hai aur bahar garmi hoti hai to yeh khofnaak hoga ."
"garmiyon ke wast mein, barish nahi honi chahiye .",aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .,aaj bahar bohat acha nahi lagta .,mein garam ki bajaye thanda hona pasand karoon ga .,"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai .",mein bhi. mein sardiyoon tak intzaar nahi kar sakta .,kash yeh har roz itni garam nah hoti .,"jee haan, yeh ho ga ."
yeh theek nahi lagey ga .,"garmiyon ke wast mein, barish nahi honi chahiye .",aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .,aaj bahar bohat acha nahi lagta .,mein garam ki bajaye thanda hona pasand karoon ga .,"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai .",mein bhi. mein sardiyoon tak intzaar nahi kar sakta .,kash yeh har roz itni garam nah hoti .
"is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi .",yeh theek nahi lagey ga .,"garmiyon ke wast mein, barish nahi honi chahiye .",aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .,aaj bahar bohat acha nahi lagta .,mein garam ki bajaye thanda hona pasand karoon ga .,"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai .",mein bhi. mein sardiyoon tak intzaar nahi kar sakta .
"bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai .","is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi .",yeh theek nahi lagey ga .,"garmiyon ke wast mein, barish nahi honi chahiye .",aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .,aaj bahar bohat acha nahi lagta .,mein garam ki bajaye thanda hona pasand karoon ga .,"mujhe sardi bhi pasand hai, lekin kabhi kabhi yeh bohat ziyada thanda ho jata hai ."
"mein jaanta hon, aap bilkul durust hain .","bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai .","is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi .",yeh theek nahi lagey ga .,"garmiyon ke wast mein, barish nahi honi chahiye .",aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .,aaj bahar bohat acha nahi lagta .,mein garam ki bajaye thanda hona pasand karoon ga .
kash yeh aik din thanda ho jaye .,"mein jaanta hon, aap bilkul durust hain .","bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai .","is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi .",yeh theek nahi lagey ga .,"garmiyon ke wast mein, barish nahi honi chahiye .",aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .,aaj bahar bohat acha nahi lagta .
"mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye .",kash yeh aik din thanda ho jaye .,"mein jaanta hon, aap bilkul durust hain .","bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai .","is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi .",yeh theek nahi lagey ga .,"garmiyon ke wast mein, barish nahi honi chahiye .",aap theek hain. mujhe lagta hai ke baad mein barish honay wali hai .
"mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai .","mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye .",kash yeh aik din thanda ho jaye .,"mein jaanta hon, aap bilkul durust hain .","bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai .","is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi .",yeh theek nahi lagey ga .,"garmiyon ke wast mein, barish nahi honi chahiye ."
"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga .","mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai .","mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye .",kash yeh aik din thanda ho jaye .,"mein jaanta hon, aap bilkul durust hain .","bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai .","is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi .",yeh theek nahi lagey ga .
kash aaj ka din acha hota .,"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga .","mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai .","mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye .",kash yeh aik din thanda ho jaye .,"mein jaanta hon, aap bilkul durust hain .","bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai .","is baat par ghhor karte hue ke yeh bahar nawway degree se ziyada hai, yeh ajeeb baat hogi ."
yeh sach hai. mujhe umeed hai ke barish nahi hogi .,kash aaj ka din acha hota .,"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga .","mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai .","mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye .",kash yeh aik din thanda ho jaye .,"mein jaanta hon, aap bilkul durust hain .","bilkul, yeh acha nahi hoga agar barish shuru ho jaye. yeh bohat garam hai ."
mausam garma ke wast mein barish nahi hogi .,yeh sach hai. mujhe umeed hai ke barish nahi hogi .,kash aaj ka din acha hota .,"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga .","mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai .","mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye .",kash yeh aik din thanda ho jaye .,"mein jaanta hon, aap bilkul durust hain ."
yeh theek nahi lagta agar abhi barish shuru ho jaye .,mausam garma ke wast mein barish nahi hogi .,yeh sach hai. mujhe umeed hai ke barish nahi hogi .,kash aaj ka din acha hota .,"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga .","mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai .","mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye .",kash yeh aik din thanda ho jaye .
agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .,yeh theek nahi lagta agar abhi barish shuru ho jaye .,mausam garma ke wast mein barish nahi hogi .,yeh sach hai. mujhe umeed hai ke barish nahi hogi .,kash aaj ka din acha hota .,"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga .","mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai .","mujhe aisa lagta hai, mein chahta hon ke sardi jald aaye ."
is waqt koi bhi barish be maienay ho gi .,agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .,yeh theek nahi lagta agar abhi barish shuru ho jaye .,mausam garma ke wast mein barish nahi hogi .,yeh sach hai. mujhe umeed hai ke barish nahi hogi .,kash aaj ka din acha hota .,"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga .","mein sardiyoon se lutaf andoz hota hon, lekin kabhi kabhi waqai sardi par jati hai ."
"yeh theek hai, yeh waqai ho ga .",is waqt koi bhi barish be maienay ho gi .,agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .,yeh theek nahi lagta agar abhi barish shuru ho jaye .,mausam garma ke wast mein barish nahi hogi .,yeh sach hai. mujhe umeed hai ke barish nahi hogi .,kash aaj ka din acha hota .,"mein jaanta hon ke aap ka kya matlab hai, lekin mein garam ki bajaye thanda hona pasand karoon ga ."
mein chahta hon ke yeh kuch thanda ho jaye .,"yeh theek hai, yeh waqai ho ga .",is waqt koi bhi barish be maienay ho gi .,agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .,yeh theek nahi lagta agar abhi barish shuru ho jaye .,mausam garma ke wast mein barish nahi hogi .,yeh sach hai. mujhe umeed hai ke barish nahi hogi .,kash aaj ka din acha hota .
"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta .",mein chahta hon ke yeh kuch thanda ho jaye .,"yeh theek hai, yeh waqai ho ga .",is waqt koi bhi barish be maienay ho gi .,agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .,yeh theek nahi lagta agar abhi barish shuru ho jaye .,mausam garma ke wast mein barish nahi hogi .,yeh sach hai. mujhe umeed hai ke barish nahi hogi .
mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .,"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta .",mein chahta hon ke yeh kuch thanda ho jaye .,"yeh theek hai, yeh waqai ho ga .",is waqt koi bhi barish be maienay ho gi .,agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .,yeh theek nahi lagta agar abhi barish shuru ho jaye .,mausam garma ke wast mein barish nahi hogi .
yeh bohat acha din hai .,mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .,"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta .",mein chahta hon ke yeh kuch thanda ho jaye .,"yeh theek hai, yeh waqai ho ga .",is waqt koi bhi barish be maienay ho gi .,agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .,yeh theek nahi lagta agar abhi barish shuru ho jaye .
"jee haan, yeh hai .",yeh bohat acha din hai .,mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .,"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta .",mein chahta hon ke yeh kuch thanda ho jaye .,"yeh theek hai, yeh waqai ho ga .",is waqt koi bhi barish be maienay ho gi .,agar nawway degree ke mausam mein barish shuru ho jaye to yeh ajeeb ho ga .
aisa lagta hai ke jald hi barish ho sakti hai .,"jee haan, yeh hai .",yeh bohat acha din hai .,mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .,"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta .",mein chahta hon ke yeh kuch thanda ho jaye .,"yeh theek hai, yeh waqai ho ga .",is waqt koi bhi barish be maienay ho gi .
"jee haan, aur mujhe umeed hai ke aisa hota hai .",aisa lagta hai ke jald hi barish ho sakti hai .,"jee haan, yeh hai .",yeh bohat acha din hai .,mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .,"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta .",mein chahta hon ke yeh kuch thanda ho jaye .,"yeh theek hai, yeh waqai ho ga ."
aisa kyun hai ?,"jee haan, aur mujhe umeed hai ke aisa hota hai .",aisa lagta hai ke jald hi barish ho sakti hai .,"jee haan, yeh hai .",yeh bohat acha din hai .,mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .,"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta .",mein chahta hon ke yeh kuch thanda ho jaye .
mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .,aisa kyun hai ?,"jee haan, aur mujhe umeed hai ke aisa hota hai .",aisa lagta hai ke jald hi barish ho sakti hai .,"jee haan, yeh hai .",yeh bohat acha din hai .,mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .,"mein jaanta hon ke aap ka kya matlab hai, mein sardiyoon ke anay tak intzaar nahi kar sakta ."
mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .,mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .,aisa kyun hai ?,"jee haan, aur mujhe umeed hai ke aisa hota hai .",aisa lagta hai ke jald hi barish ho sakti hai .,"jee haan, yeh hai .",yeh bohat acha din hai .,mausam sarma bohat acha hai. kash kabhi kabhi itni thand nah padtee .
"haan, lekin mujhe barish ke baad raat ki sunhwa pasand hai .",mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .,mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .,aisa kyun hai ?,"jee haan, aur mujhe umeed hai ke aisa hota hai .",aisa lagta hai ke jald hi barish ho sakti hai .,"jee haan, yeh hai .",yeh bohat acha din hai .
waqai? aisa kyun hai ?,"haan, lekin mujhe barish ke baad raat ki sunhwa pasand hai .",mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .,mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .,aisa kyun hai ?,"jee haan, aur mujhe umeed hai ke aisa hota hai .",aisa lagta hai ke jald hi barish ho sakti hai .,"jee haan, yeh hai ."
kyunkay aap sitaron ko bilkul theek dekh satke hain .,waqai? aisa kyun hai ?,"haan, lekin mujhe barish ke baad raat ki sunhwa pasand hai .",mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .,mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .,aisa kyun hai ?,"jee haan, aur mujhe umeed hai ke aisa hota hai .",aisa lagta hai ke jald hi barish ho sakti hai .
mujhe waqai umeed hai ke aaj barish ho gi .,kyunkay aap sitaron ko bilkul theek dekh satke hain .,waqai? aisa kyun hai ?,"haan, lekin mujhe barish ke baad raat ki sunhwa pasand hai .",mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .,mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .,aisa kyun hai ?,"jee haan, aur mujhe umeed hai ke aisa hota hai ."
kya yeh aik acha din nahi hai ?,mujhe waqai umeed hai ke aaj barish ho gi .,kyunkay aap sitaron ko bilkul theek dekh satke hain .,waqai? aisa kyun hai ?,"haan, lekin mujhe barish ke baad raat ki sunhwa pasand hai .",mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .,mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .,aisa kyun hai ?
yeh waqai hai .,kya yeh aik acha din nahi hai ?,mujhe waqai umeed hai ke aaj barish ho gi .,kyunkay aap sitaron ko bilkul theek dekh satke hain .,waqai? aisa kyun hai ?,"haan, lekin mujhe barish ke baad raat ki sunhwa pasand hai .",mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .,mujhe waqai pasand hai ke barish sunhwa ko kaisay saaf karti hai .
lagta hai aaj barish ho sakti hai .,yeh waqai hai .,kya yeh aik acha din nahi hai ?,mujhe waqai umeed hai ke aaj barish ho gi .,kyunkay aap sitaron ko bilkul theek dekh satke hain .,waqai? aisa kyun hai ?,"haan, lekin mujhe barish ke baad raat ki sunhwa pasand hai .",mein bhi. barish ke baad yeh hamesha taaza khushbu aati hai .
