Intent,Response,Intent (Roman Urdu),Response (Roman Urdu),,,,,Index,,,,,,
What is PCOD?,PCOD/PCOS is a condition where high levels of hormones interfere with the ovarian follicles and the release of eggs during ovulation. Regular exercises and healthy diet can bring the hormones in control.,pcod kya hai ?,pcod/pcos aik aisi haalat hai jahan hormones ki aala satah dambagaranti ya ovarian follicles aur ovulation ke douran anday ke ikhraj mein mudakhlat karti hai. baqaidagi se varzishen aur sehat bakhash khoraak hormones ko control mein laa sakti hai.,,,,,,,,,,,
What is Endometriosis?,Endometriosis is a condition where the lining of abdomen goes through changes leading to pain and discomfort.,endometriosis kya hai ?,endometriosis aik aisi haalat hai jahan pait ki Aster tabdeelion se guzarti hai jis se dard aur takleef hoti hai .,,,,,,,,,,,
What are Infections?,"A previous infection in the urinary system like the kidney, bladder, urethra or conditions like gonorrhea and chlamydia may lead to fertility issues. It is important to check with a doctor and take proper medications for it.",infection kya hain ?,"pishaab ke nizaam mein pichlle infection jaisay gurday, masanay, pishaab ki naali ya sozaak aur chlamydia jaisay halaat zarkhaizi/fertility ke masail ka baais ban satke hain. dr se check karana aur is ke liye munasib adwiyaat lena zaroori hai .",,,,,,,,,,,
What are Tubal blockages?,Blockage of the fallopian tubes may stop the sperm from fertilizing the egg making it difficult to get pregnant. This blockage can be detected by HSG test where a dye is passed through the uterus to find any blocks. The blockages can be removed by surgery.,nali ki rakawaten ya Tubal blockages kya hain ?,fallopian tubes ki rukawat sperm ko anday ki khad daalnay se rokkk sakti hai jis se haamla hona mushkil ho jata hai. is rukawat ka pata HSG test ke zariye lagaya ja sakta hai jahan kisi bhi blocks ko talaash karne ke liye bacha daani ya uterus mein se aik rang guzar jata hai. rukawaton ko surgery ke zariye dur kya ja sakta hai .,,,,,,,,,,,
What are Fibroids?,"Fibroids are non-cancerous growth inside the uterus that hinders the sperm from reaching the egg. Fibroids can be diagnosed by CT scan, laparoscopy or ultrasound and can be removed surgically.",fibroids kya hain ?,"fibroids bacha daani ya uterus ke andar ghair cancer ki nashonuma hoti hain jo sperm ko anday tak pounchanay se rokti hain.fibroids ki tashkhees CT scan, laparoscopy ya ultrasaond ke zariye ki ja sakti hai aur usay jar se hataya ja sakta hai .",,,,,,,,,,,
What are Autoimmune disorders?,The body’s immune system may attack the normal tissues leading to issues in the reproductive organs. This can be treated by proper medication.,autoimmune awarz ya disorders kya hain ?,jism ka mdafati nizaam aam bafton par hamla kar sakta hai jis ki wajah se toleedi aaza mein masail peda hotay hain. is ka ilaaj munasib adwiyaat se kya ja sakta hai .,,,,,,,,,,,
What should I do if I have any of these issues?,Your next step should be to visit a doctor and get a consultation for your condition so that you can be correctly guided onto the right path.,agar mujhe un mein se koi masla darpaish hai to mujhe kya karna chahiye ?,aap ka agla marhala yeh hona chahiye ke aap dr se milein aur apni haalat ke liye mahswara len taakay aap ko sahih rastay ki taraf sahih tareeqay se rahnumai mil sakay .,,,,,,,,,,,
Do I need to visit a doctor if I have any of these issues?,Yes. It is important that you visit a doctor so that you can be correctly diagnosed.,agar mujhe un mein se koi masla hai to kya mujhe dr se milnay ki zaroorat hai ?,jee haan. yeh zaroori hai ke aap dr se milein taakay aap ki sahih tashkhees ho sakay .,,,,,,,,,,,
How do i know if i am having fertility issues?,How long has it been since you started trying to get pregnant?,mujhe kaisay pata chalay ga ke mujhe zarkhaizi/fertility ke masail hain ?,aap ko haamla honay ki koshish shuru kiye hue kitna arsa ho gaya hai ?,,,,,,,,,,,
I want to know about my Fertility Treatment Options,"There are many fertility treatment options that you can explore, including Assisted Reproductive Technology (ARF), Adoption and some other treatment options. What Do You Want To Know About?",mein –apne zarkhaizi/fertility ke ilaaj ke ikhtiyarat ke baray mein janna chahta hon .,"zarkhaizi/fertility ke ilaaj ke bohat se options hain jinhein aap daryaft kar satke hain, Assisted Reproductive Technology (ARF), adoption aur ilaaj ke kuch dosray ikhtiyarat aap karsakte hai. aap kis cheez ke baray mein janna chahtay hain ?",,,,,,,,,,,
What is Assisted Reproductive Technology?,"Assisted Reproductive Technology (ART) in which the sperm and egg are handled for better fertilization. Usually IUI will be the preferred fertility treatment and if IUI doesn’t bring results, the doctor will recommend IVF.
What do you want to know about?
",Assisted Reproductive Technology kya hai ?,"Assisted Reproductive Technology (ART) jis mein sperm aur anday ko behtar fertilization ke liye sanbhala jata hai. aam tor par IUI tarjeehi zarkhaizi/fertility ka ilaaj ho ga aur agar IUI nataij nahi lata hai to dr IVF tajweez kere ga .
 aap kis cheez ke baray mein janna chahtay hain ?",,,,,,,,,,,
What is Adoption?,"If you or partner have fertility issues that wasn’t resolved after going through all the treatment options, then adopting a child will be the most fulfilling. Visit the government website for adoption (CARA) or visit your nearest adoption agency for more details.",goad lena kya hai ?,"agar aap ya saathi ko zarkhaizi/fertility ke masail hain jo ilaaj ke tamam ikhtiyarat se guzarnay ke baad bhi hal nahi hue, to bachay ko goad lena aapka masla hal karsakta hai. mazeed tafseelaat ke liye government ki Website baraye goad lainay ( cara ) dekhen ya apni qareebi adoption agency dekhen .",,,,,,,,,,,
What are my Alternate Treatment Options?,"Apart from the ART treatments, there are several non invasive treatment options for both male and female infertility issues including Homeopathy, Yoga, and Ayurveda. The solution for fertility issues is not a single treatment. A combination of treatments will help to get pregnant.",mere mutabadil ilaaj ke ikhtiyarat kya hain ?,"ART ke ilaaj ke ilawa, homeopathy, yoga, aur  Ayurveda samait mard aur aurat dono ke banjh pan ke masail ke liye kayi ghair hamla aawar ilaaj ke ikhtiyarat mojood hain. zarkhaizi/fertility ke masail ka hal wahid ilaaj nahi hai. ilaaj ka aik majmoa haamla honay mein madad kere ga .",,,,,,,,,,,
What is Homeopathy?,Some fertility issues can be treated by homeopathy treatment taken religiously for a few months.,homeopathy kya hai ?,zarkhaizi ke kuch masail ka ilaaj kuch mahino tak mazhabi tareeqay se kiye jane walay homeopathy ilaaj se kya ja sakta hai. ,,,,,,,,,,,
What is Yoga?,There are certain yoga techniques that have been found to boost the fertility and resolve any reproductive issues. It also relieves stress which is a major basis for infertility problems.Speak with a specialist to know more about how yoga can help you.,yoga kya hai ?,yoga ki kuch aisi techniques hain jo zarkhaizi/fertility ko badhaane aur toleedi masail ko hal karne ke liye payi gayi hain. yeh tanao ko bhi dur karta hai jo banjh pan ke masail ki aik bari bunyaad hai. mazeed jan-nay ke liye kisi maahir se baat karen ke yoga aap ki kis terhan madad kar sakta hai .,,,,,,,,,,,
What is Ayurveda?,"Ayurvedic medicines and ayurvedic treatments along with yoga can help greatly help with restoring both ,male and female fertility.", Ayurveda kya hai ?,yoga ke sath ayurvedic adwiyaat aur ayurvedic ilaaj mard aur aurat dono ki zarkhaizi/fertility ko bahaal karne mein bohat madad kar satke hain .,,,,,,,,,,,
What disturbs Female Fertility?,There are many conditions that could disturb a woman’s fertility. If you have been diagnosed for any fertility issues then you should visit a doctor.,khawateen ki zarkhaizi/fertility ko kya cheez pareshan karti hai ?,bohat se halaat hain jo aurat ki zarkhaizi/fertility ko mutasir kar satke hain. agar aap ko zarkhaizi/fertility ke kisi bhi maslay ki tashkhees hui hai to aap ko dr se milna chahiye .,,,,,,,,,,,
I haven’t yet visited the doctor to test my fertility. How can I know if I have infertility issues?,"Is your menstrual cycle irregular?
Do you consume alcohol or smoke tobacco?
Are you overweight or underweight?
If your answer ‘yes’ to any of the questions above, then you may probably have some fertility issues.It is high time to contact a fertility specialist to check out. ",mein ne abhi tak apni zarkhaizi/fetility jhanchne ke liye dr ke paas nahi gayi. mein kaisay jaan sakti hon ke mujhe banjh pan ke masail hain ?,"kya aap ka mahvari be qaida hai ?
 kya aap sharaab peetay hain ya tambaku peetay hain ?
 kya aap ka wazan ziyada hai ya kam wazan ?
 agar aap ka jawab mandarja baala salawon mein se kisi ke liye' haan' mein hai, to shayad aap ko zarkhaizi/fertility ke kuch masail darpaish hon ge. yeh check karne ke liye zarkhaizi/fertility ke maahir se rabita karne ka behtareen waqt hai.",,,,,,,,,,,
