Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
is it normal to have different coloured discharge?,"Yes, Healthy vaginal discharge ranges from clear to a milky white, with as many shades in between as you'll find in a paint store. And it's common for the texture and color to change throughout your menstrual cycle",kya mukhtalif rangon ka kharij hona mamool hai ?,"jee haan, sehat mand andaam Nihani/vagina se kharij honay wala madah saaf se le kar doodhiya safaid tak hota hai, jis ke darmiyan mein itnay hi shades hotay hain jitne aap ko paint store mein milein ge. aur aap ke mahvari ke douran saakht aur rang ka tabdeel hona aik aam baat hai ."
is it normal to bleed very heavily sometimes and less another,"This may happen. Periods fluctuate when they first start. If you’ve had your period for a few years, it should generally be about the same length and volume each cycle. You may still notice changes from time to time, such as the heaviness and length of your period which can fluctuate, depending on your hormones. Hormones can change temporarily because of things like stress, diet, or taking an emergency contraception pill.  Your period will also have variations if you don’t ovulate each cycle—you may miss a period, or come later than usual, and/or be heavier/lighter and shorter/longer than your usual. Not ovulating during each cycle is common during adolescence and perimenopause, and is a common cause of temporarily absent and/or heavy menstrual periods.",kya kabhi bohat ziyada aur kabhi kam khoon behna mamool hai ?,"aisa ho sakta hai. mahvari mein utaar charhao aata hai jab woh pehli baar shuru hotay hain. agar aap kuch saalon se haiz horaha hai, to yeh aam tor par har aik cycle ki lambai aur hajam ke barabar hona chahiye. aap ab bhi waqtan foqatan tabdeelian mehsoos kar satke hain, jaisay aap ke hormones ke lehaaz se aap ki haiz ka wazan aur Tawalat jo utaar charhao ka shikaar ho sakti hai. tanao, khoraak, ya emergency goli lainay jaisi cheezon ki wajah se hormones earzi tor par tabdeel ho satke hain. agar aap har daur mein beza/ovulate nahi karte hain to aap ke doraniye mein bhi tagayuraat hon ge — aap ko aik period chhuut sakta hai, ya mamool se baad mein aata hai, ya aap ke mamool se ziyada halka aur chhota ho sakta hai. har chakkar ke douran beza/ovulation nah hona jawani aur perimenopause ke douran aam hai, aur yeh earzi tor par ghair haazri aur mahvari ke bhaari honay ki aik aam wajah hai ."
is it normal to leave stains,Are you referring to spotting?,kya daagh chhorna mamool hai ?,kya aap spotting ka hawala day rahay hain ?
Yes,"After your period, the bleeding may taper off slowly. You may only notice a little blood on the toilet paper you use to wipe, or you may see stains accumulate on your underwear throughout the day. This is all considered normal.",jee haan,"aap ki mahvari ke baad, khoon behna aahista aahista kam ho sakta hai. aap ko toilet paper par thora sa khoon nazar aa sakta hai jisay aap maseh karne ke liye istemaal karte hain, ya aap dekh sakte hain ke din bhar aap ke zair jama par daagh jama hotay hain. yeh sab aam samjha jata hai ."
are you impure if you are on your period,"Neither you or your period blood is impure in scientific terms. Unless a woman has a blood-borne illness, menstrual fluid is harmless. No toxins are released in menstrual flow, as this is a lining that must be pure and clean enough to have nurtured a baby. Menstrual fluid is no more dangerous than regular blood. Your organs release many secretions in the body, and your whole body has blood inside it too. If it was toxic or harmful, you would not be alive!",agar aap mahvari par hain to kya aap najas hain ?,"scienci lehaaz se aap ka ya aap ka haiz ka khoon napak nahi hai. jab tak kisi aurat ko khoon se peda honay wali bemari nah ho, mahvari ka ratobat be zarrar hai. mahvari ke douran koi zahreela mawaad kharij nahi hota hai, kyunkay yeh aik aster/lining hai jo bachay ki parwarish ke liye itna saaf hai aur saaf hona chahiye. mahvari ka seyal aam khoon se ziyada khatarnaak nahi hai. aap ke aaza jism mein bohat si ratobatein kharij karte hain, aur aap ke poooray jism ke andar bhi khoon hota hai. agar yeh zahreela ya nuqsaan da hota to aap zindah nah hotay !"
is it normal to have bad moods,"Bad moods or mood swings before your periods can be part of the pre-menstrual syndrome (PMS). It's normal to have the blues or feel sick before and during a period. As hormone levels rise and fall during a girl's menstrual cycle, it can affect the way she feels, both physically and emotionally. Do you want to know what is PMS?",kya mood kharab hona mamool hai ?,"aap ke mahvari se pehlay kharab mood ya mood mein tabdeeli pre menstrual syndrome ( pms ) ka hissa ho sakti hai. mahvari se pehlay aur is ke douran bemaar mehsoos karna mamool ki baat hai. jaisay jaisay larki ke mahvari ke douran hormone ki satah barhti aur girty hai, yeh jismani aur jazbati tor par is ke mehsoos karne ke andaaz ko mutasir kar sakti hai. kya aap janna chahtay hain ke pms kya hai ?"
Yes,"Experts believe PMS is triggered (in part) by cyclical changes in sex hormones each month. Monthly hormone shifts are normal and expected. They happen! But the root cause of the problem is when we have more or less estrogen and progesterone than we need. As our bodies move through the 28-day hormone cycle in this hormonally imbalanced environment, that is when we experience symptoms. If you address the underlying hormone imbalance with food and lifestyle, you can erase the symptoms of Pre Menstrual Syndrome. Experts also believe that nutrient deficiencies play a role in PMS symptoms. Research has shown a connection between low levels of vitamin D, calcium, and magnesium and PMS symptoms. ",jee haan,"mahireen ka khayaal hai ke PMS har mah jinsi hormones mein cyclical tabdeelion se ( juzwi tor par ) shuru hota hai. mahana hormone ki tabdeelian aam aur mutawaqqa hain. woh hotay hain! lekin is maslay ki jarr is waqt hoti hai jab hamaray paas estrogen aur progesrone hamari zaroorat se ziyada ya kam ho. jab hamara jism is hormonal tor par ghair mutawazan mahol mein 28 din ke hormone cycle se guzarta hai, isi waqt hamein alamaat ka saamna karna parta hai. agar aap khoraak aur tarz zindagi ke sath bunyadi hormone ke Adam tawazun ko dur karte hain, to aap Pre Menstrual Syndrome ki alamaat ko mita satke hain. mahireen ka yeh bhi maanna hai ke PMS ki alamaat mein ghizaiyat ki kami aik kirdaar ada karti hai. tehqeeq ne vitamin d, calcium, aur magnesium ki kam satah aur pms alamaat ke darmiyan talluq zahir kya hai ."
if i bleed during pregnancy does that mean i’ve had a miscarriage?,"During the first 12 weeks of pregnancy, vaginal bleeding can be a sign of miscarriage or ectopic pregnancy. However, if you bleed at this stage of pregnancy it's likely you will go on to have normal and successful pregnancies.",agar mujhe hamal ke douran khoon aata hai to kya is ka matlab hai ke mujhe isqaat hamal sunhwa hai/mera bacha gir gaya hai?,"hamal ke pehlay 12 hafton ke douran, andaam Nihani se khoon behna isqaat hamal ya ectopic hamal ki alamat ho sakta hai. taham, agar aap ko hamal ke is marhalay par khoon aata hai to is ka imkaan hai ke aap ka mamool aur kamyaab hamal ho jaye ga ."
Is it normal for my periods to be a couple days late,"Missed or late periods happen for many reasons other than pregnancy. Common causes can range from hormonal imbalances to serious medical conditions. There are also two times when it's typical for your period to be irregular: when it first begins, and when the menopause transition starts.",kya mere mahvari ka aik do din takheer se aana mamool hai ?,"mahvari chhotna ya der se aana hamal ke ilawa bohat si wajohaat se hota hai. aam wajohaat hormonal Adam tawazun se le kar sangeen tibbi halaat tak ho sakti hain. do baar aisay bhi hotay hain jab aap ki mahvari ka be qaida hona aam hota hai : jab yeh pehli baar shuru hota hai, aur jab rajonoorti/menopause ki muntaqili shuru hoti hai ."
what is the earliest age that I can get my period,"Most girls start their periods when they're about 12, but they can start as early as 8, so it's important to talk to girls from an early age to make sure they're prepared.",sab se ibtidayi Umar kya hai jis mein mein apni mahvari haasil karsakti hon .,"ziyada tar larkiyan 12 saal ki Umar mein –apne mahvari ka aaghaz karti hain, lekin woh 8 saal ki Umar mein shuru ho sakti hain, is liye yeh yakeeni bananay ke liye ke woh tayyar hain, choti Umar se hi larkiyon se baat karna zaroori hai ."
Why do I feel so depressed during my periods,"Bad moods or mood swings before your periods can be part of the pre-menstrual syndrome (PMS). It's normal to have the blues or feel sick before and during a period. As hormone levels rise and fall during a girl's menstrual cycle, it can affect the way she feels, both physically and emotionally.",mein –apne mahvari ke douran itna afsurdah kyun mehsoos karti hon .,"aap ke mahvari se pehlay kharab mood ya mood mein tabdeeli pre menstrual syndrome ( pms ) ka hissa ho sakti hai. mahvari se pehlay aur is ke douran bemaar mehsoos karna mamool ki baat hai. jaisay jaisay larki ke mahvari ke douran hormone ki satah barhti aur girty hai, yeh jismani aur jazbati tor par is ke mehsoos karne ke andaaz ko mutasir kar sakti hai ."
when should I see a doctor for cramps and pain,"For most women, cramping and bloating are typical symptoms of the “friend” who pays a monthly visit. But when the pain is extreme and paired with excessive bleeding, fever, or feels suddenly worse than what has been previously experienced, it's time to see your doctor. If you have very painful menstrual cramps or cramps that last longer than two or three days, make an appointment with your healthcare provider.",dard ke liye mujhe kab dr se milna chahiye .,"ziyada tar khawateen ke liye, dard aur aphara/bloating is"" dost"" ki makhsoos alamaat hain jo mahana dora karta hai. lekin jab dard bohat ziyada ho aur bohat ziyada khoon behnay, bukhaar ke sath jor diya jaye, ya achanak is se badter mehsoos ho jis ka pehlay tajurbah kya gaya hai, to yeh –apne dr se milnay ka waqt hai. agar aap ko bohat takleef da mahvari ke dard hain jo do ya teen din se ziyada arsay tak rehtay hain, to –apne doctor se mulaqaat karen ."
should I take medicine for pain or discomfort,"You can take painkillers only if your healthcare provider suggests it. Otherwise, you can use natural remedies for the period pain. Would you like to know them?",kya mujhe dard ya takleef ke liye dawa lena chahiye ?,"aap dard kash adwiyaat/painkillers sirf is soorat mein le satke hain jab aap ka doctor tajweez kere. basorat deegar, aap mahvari ke dard ke liye qudrati ilaaj istemaal kar satke hain. kya aap inhen janna chahain ge ?"
Yes,"Standard period pain responds well to natural supplements such as zinc, turmeric and magnesium. Supplements work gently and gradually, so they must be taken every day throughout the month — not just during your period.",jee haan,"mayaari mahvari ka dard qudrati supplements jaisay zinc, haldi aur magnesium ko achi terhan se jawab deta hai. supplements aahista aur batadreej kaam karte hain, is liye inhen poooray mahinay mein har roz lena chahiye — nah sirf aap ki mahvari ke douran ."
is it harmful to take meds during periods,"Everyones body is different, it may or may not be harmful. Please refer to your healthcare provider for further information",kya mahvari ke douran dawai lena nuqsaan da hai ?,"har aik ka jism mukhtalif hota hai, yeh nuqsaan da ho sakta hai ya nahi. mazeed maloomat ke liye baraye meharbani –apne doctor se rujoo karen ."
what can I do to relieve the pain,"Standard period pain responds well to natural supplements such as zinc, turmeric and magnesium. Supplements work gently and gradually, so they must be taken every day throughout the month — not just during your period.",mein dard ko dur karne ke liye kya kar sakti hon,"mayaari period ka dard qudrati supplements jaisay zinc, haldi aur magnesium ko achi terhan se jawab deta hai. supplements aahista aur batadreej kaam karte hain, is liye inhen poooray mahinay mein har roz lena chahiye — nah sirf aap ki periods ke douran ."
is it bad to not get periods for months,"With the exception of missing your period while on some contraceptives, it is not normal to go without a period for several months and can be harmful to your health. Visit your physician if your missed periods persist.",kya mahino tak mahvari nah aana bura hai ?,"kuch Maney hamal adwiyaat ke douran aap ki mahvari gayab hoti hai, lekin uske ilawa kayi mahino tak mahvari ke baghair jana mamool nahi hai aur yeh aap ki sehat ke liye nuqsaan da ho sakta hai. agar aap ki mahvari kayi mahino tak nahi aati tou apne doctor se milein ."
Do some girls have increased sex drive during periods?,"Many women report having an increased libido (sex drive) during menstruation, while the chances of getting pregnant on your period are very low, the increase in sex drive is caused by a drop in the levels of progesterone (a hormone)",kya kuch larkiyon ke mahvari ke douran jinsi khwahish mein izafah huwa hai ?,"bohat si aurtain mahvari ke douran Libido ( sex drive ) mein izafay ki ittila deti hain, jabkay aap ke mahvari ke douran haamla honay ke imkanaat bohat kam hotay hain, jinsi khwahish mein izafah progesterone ( aik hormone ) ki satah mein kami ki wajah se hota hai ."
Sometimes I get pain on the 14/15th day of my cycle on one side of my abdomen.. why is that?,"Some women get a one-sided pain in their lower abdomen when they ovulate. It happens about 14 days before your period, when an ovary releases an egg as part of the menstrual cycle. Ovulation pain is often normal",kabhi kabhi mujhe cycle ke 14-15 din pait ke aik taraf dard hota hai. . aisa kyun hai ?,"kuch khawateen ko jab beza/ovulation aata hai to un ke pait ke nichle hissay mein yak Tarfah dard hota hai. yeh aap ki mahvari se taqreeban 14 din pehlay hota hai, jab andashi mahvari ke hissay ke tor par aik anda kharij karti hai. beza daani/uterus ka dard aksar aam hota hai ."
What are symptoms of ovulation pain,The pain can be a dull cramp or a sharp and sudden twinge. It's usually on either the left- or right-hand side of your tummy depending on which ovary is releasing the egg. It can last just a few minutes or continue for a day or 2. Some women notice a little vaginal bleeding when it happens.,ovulation ke dard ki alamaat kya hain ?,dard aik madham dard ya taiz aur achanak maror ho sakta hai. yeh aam tor par aap ke pait ke baen ya dayen taraf hota hai is par munhasir hota hai ke beza daani anda jari kar rahi hai. yeh sirf chand minute tak chal sakta hai ya aik ya 2 din tak jari reh sakta hai. kuch khawateen ko andaam Nihani/vagina se thora sa khoon behnay ka ehsas hota hai .
,,,
,,,
At what age we stop having periods,"The age at which someone stops having periods is known as menopause. Menopause is defined as occurring when a person has not had a menstrual period for 12 consecutive months. The average age of menopause in Pakistan is around 51 years old, but it can occur anytime between the ages of 40 and 58. However, menopause can also occur earlier due to certain medical conditions, surgery, or treatments such as chemotherapy or radiation.",kis Umar mein mahvari aana band hojata hai .,"woh Umar jis mein kisi ko mahvari aana band ho jati hai usay rajunoorti/menopause kaha jata hai. rajunoorti/menopause ki tareef is waqt hoti hai jab kisi shakhs ko lagataar 12 mah tak mahvari nah aati ho. Pakistan mein rajunoorti/menopause ki ost Umar 51 saal ke lag bhag hai, lekin yeh 40 se 58 saal ki Umar ke darmiyan kisi bhi waqt ho sakti hai. taham, baaz tibbi halaat, surgery, ya ilaaj jaisay kimothrapi ya taabkari ki wajah se bhi rajunoorti/menopause pehlay ho sakti hai ."
is 30 an age too early to have menopause,"Yes, 30 years old is generally considered too early to have menopause. Menopause before the age of 40 is known as premature menopause or premature ovarian insufficiency (POI). There are several possible causes of premature menopause, including genetic factors, autoimmune disorders, certain medical treatments, and some types of surgery. If you are experiencing symptoms of menopause and are concerned about their timing or severity, it's important to talk to your healthcare provider.",kya rajunoorti/menopause keliye 30 saal ki umar bohat jaldi hai?,"haan, 30 saal ki Umar ko aam tor par rajunoorti/menopause ke liye bohat jaldi samjha jata hai. 40 saal ki Umar se pehlay rajunoorti/menopause ko qabal az waqt rajunoorti/menopause ya premature ovarian insufficiency  ( poi ) kaha jata hai. qabal az waqt rajunoorti/menopause ki kayi mumkina wajohaat hain, jin mein jeneati awamil, khud car qowat mudafat ki kharabi, baaz tibbi ilaaj, aur kuch qisam ki surgery shaamil hain. agar aap rajunoorti/menopause ki alamaat ka saamna kar rahay hain aur un ke waqt ya shiddat ke baray mein fikar mand hain, to yeh zaroori hai ke aap –apne doctor se baat karen ."
Why do I feel itchy during my periods,"Itching during periods can be caused by a few different factors:

Sanitary pads can sometimes cause irritation or itching due to the chemicals in the pad or friction between the pad and the skin. If you are experiencing itching, try switching to a different brand or type of pad

Yeast infection: Hormonal changes during your menstrual cycle can create an environment that is conducive to the growth of yeast. This can cause vaginal itching and discomfort. If you suspect that you have a yeast infection, you should see your doctor for diagnosis and treatment.

Allergies: You may be allergic to something that comes into contact with your skin during your period, such as a particular brand of pad, detergent used to wash your clothes, or fabric softeners.

Hormonal changes: Fluctuations in hormones during your menstrual cycle can also cause itching and other uncomfortable symptoms.

If you are experiencing itching during your period, it's important to practice good hygiene, avoid irritants, and talk to your doctor if the itching persists or is accompanied by other symptoms such as discharge, odor, or pain.",mahvari ke douran mujhe kharish kyun mehsoos hoti hai .,"mahvari ke douran kharish chand mukhtalif awamil ki wajah se ho sakti hai :

baaz auqaat pad mein mojood chemical ya pad aur jald ke darmiyan ragar ki wajah se jalan ya kharish ka baais ban satke hain. agar aap kharish ka saamna kar rahay hain to, mukhtalif brand ya pad ki qisam par switch karne ki koshish karen .

khameer ka infection : aap ke mahvari ke douran hormonal tabdeelian aisa mahol bana sakti hain jo khameer/yeast ki afzaish ke liye sazgaar ho. yeh andaam Nihani/vagina mein kharish aur takleef ka sabab ban sakta hai. agar aap ko shak hai ke aap ko khameer ka infection hai, to aap ko tashkhees aur ilaaj ke liye –apne dr se milna chahiye .

allergy : aap ko kisi aisi cheez se allergy ho sakti hai jo aap ki mahvari ke douran aap ki jald ke raabtey mein aati hai, jaisay ke aik khaas brand ka pad, aap ke kapray dhoney ke liye istemaal honay wala sabun, ya fabric naram karne walay .

hormonal tabdeelian : aap ke mahvari ke douran hormones mein utaar charhao bhi kharish aur deegar ghair aaraam da alamaat ka sabab ban sakta hai .

agar aap apni mahvari ke douran kharish ka saamna kar rahay hain, to yeh zaroori hai ke achi hifzaan sehat par amal karen, pareshan kin cheezon se bachchen, aur agar kharish jari rehti hai ya is ke sath deegar alamaat jaisay kharij honay, badboo, ya dard hoti hai apne dr se baat karen"
,,,
I had some questions about menopause,"Sure, how can I help you?",mere paas rajonoorti ke baray mein kuch sawalaat thay .,"bilkul, mein aap ki madad kaisay kar sakti hon ?"
Is menopause part of menstrual cycle,Menopause is actually the time that marks the end of your menstrual cycles,kya rajonoorti mahvari ka hissa hai .,rajonoorti darasal woh waqt hai jo aap ke mahvari ke ekhtataam ki nishandahi karta hai .
What is the average age for menopause,"Menopause takes place when the ovaries no longer release eggs and menstruation stops, usually between the ages of 45 and 55 in Pakistan",rajonoorti ki ost Umar kya hai ?,"rajonoorti is waqt hoti hai jab beza daani se anday nahi nikaltay aur mahvari ruk jati hai, Pakistan mein aam tor par 45 se 55 saal ki Umar ke darmiyan hoti hai"
Is it OK to have menopause at 40?,Premature menopause is menopause that occurs before the age of 40 years. Early menopause occurs between the age of 40 and 45. Women who experience early or premature menopause may need hormone therapy to reduce the risk of diseases such as osteoporosis and cardiovascular disease.,kya 40 saal ki Umar mein rajonoorti hona theek hai ?,qabal az waqt rajonoorti/premature menopause rajonoorti hai jo 40 saal ki Umar se pehlay hoti hai. ibtidayi rajonoorti 40 aur 45 saal ki Umar ke darmiyan hoti hai. jo khawateen jald ya qabal az waqt rajonoorti ka tajurbah karti hain inhen osteoporosis aur qalbi amraaz jaisi bimarion ke khatray ko kam karne ke liye hormone therapy ki zaroorat par sakti hai .
How can I prevent hot flashes?,"Avoid triggers, such as spicy foods, alcohol, caffeine and stress.Keep a fan in your home or workplace and try taking slow, deep breaths when you feel a hot flash starting.",mein garam chamko/hot flashes ko kaisay rokkk sakti hon ?,"muharikaat se parhaiz karen, jaisay ke masala daar gizayein, sharaab, caffeine aur tanao. –apne ghar ya kaam ki jagah par pankha rakhen aur jab aap ko garam flash shuru honay ka ehsas ho to aahista, gehri sansen lainay ki koshish karen ."
Does menopause cause bone loss?,"Lower estrogen around the time of menopause leads to bone loss in women. Bone loss can cause bones to weaken, which can cause bones to break more easily. When bones weaken a lot, the condition is called osteoporosis",kya rajonoorti/meonpause hadion ki kami ka sabab banti hai ?,"rajonoorti/menopause ke douran estrogen ki kami khawateen mein hadion ki kami ka baais banti hai. hadion ka nuqsaan hadion ko kamzor karne ka sabab ban sakta hai, jis ki wajah se haddiyan ziyada aasani se toot sakti hain. jab haddiyan bohat ziyada kamzor ho jayen to is haalat ko osteoporosis kehte hain ."
Does menopause increase risk of heart disease?,"Yes. After menopause, women are more likely to have cardiovascular problems, like heart attacks and strokes. Changes in estrogen levels may be part of the cause, but so is getting older. That’s because as you get older, you may gain weight and develop other health problems that increase your risk of cardiovascular disease. Ask your doctor about important tests like those for cholesterol and high blood pressure.",kya rajonoorti/menopause dil ki bemari ka khatrah barhati hai ?,"jee haan. rajonoorti ke baad, khawateen ko dil ke doray aur faalij jaisay amraaz qalb ka ziyada imkaan hota hai. estrogen ki satah mein tabdeeli is wajah ka hissa hosakti hai, lekin is ki Umar barhti jarahi hai. is ki wajah yeh hai ke jaisay jaisay aap ki Umar barhti hai, aap ka wazan barh sakta hai aur sehat ke deegar masail peda ho satke hain jo aap ke qalbi amraaz ka khatrah berhate hain. apne dr se ahem test jaisay cholesterol aur high blood pressure ke baray mein poucheen ."
I am having trouble sleeping,How old are you,mujhe sonay mein pareshani ho rahi hai .,aap kitney saal ke ho
49,"You’re not alone–50 percent of women ages 40 to 59 report poor sleep quality. Try following these tips to improve your sleep hygiene: Be physically active during the day. Avoid large meals, smoking, and working right before bed. Keep your bedroom dark, quiet, and cool. Avoid napping. Establish a bedtime routine.Limit the bedroom to sleep and intimacy. Wear lightweight clothing. ",49,"aap akailey nahi hain – 40 se 59 saal ki 50% khawateen neend ke kharab miyaar ki ittila deti hain. apni neend ki safai ko behtar bananay ke liye un tajaweez par amal karne ki koshish karen : din ke waqt jismani tor par mutharrak rahen. sonay se pehlay barray khanay, cigrette noshi aur kaam karne se parhaiz karen. –apne sonay ke kamray ko tareek, pursukoon aur thanda rakhen. din mai sonay se guraiz karen. sonay ke waqt ka mamool banayen. sonay ke kamray ko sonay aur qurbat tak mehdood rakhen. halka phulka libaas pehnein ."
What can I do to improve mood swings from menopause?,"Getting enough sleep and staying physically active may help prevent mood swings. You can also try learning new ways to deal with stress, like meditating or journaling. ",rajonoorti/menopause se mood ke bdlao ko behtar bananay ke liye mein kya kar sakti hon ?,"kaafi neend lena aur jismani tor par mutharrak rehne se mood ke bdlao ko roknay mein madad mil sakti hai. aap tanao se nimatnay ke naye tareeqay seekhnay ki bhi koshish kar satke hain, jaisay muraqba ya journaling ."
Why does forgetfulness occur during menopause?,"Many women report cognitive changes during menopause. Getting enough sleep and being active may help. However, if forgetfulness is affecting your daily life, see your doctor.",rajonoorti ke douran mai cheezain bhool kyun jaati hun ?,"bohat si khawateen rajonoorti ke douran Ilmi tabdeelion ki ittila deti hain. kaafi neend lena aur fa-aal rehne se madad mil sakti hai. taham, agar bhool jana aap ki roz marrah ki zindagi ko mutasir kar raha hai, to apne dr se milein ."
