Intent,Response,Intent (Roman Urdu),Response (Roman Urdu),,Index
What are Sexually Transmitted Infection?,Sexually Transmitted Infection (STI) is a type of  infection that can be transmitted from one person to another while having sex. There are several different types of STI caused by different sorts of bugs. STIs often have no symptoms. ,jinsi tor par muntaqil honay walay infection kya hain ?,jinsi tor par muntaqil shuda infection ( sti ) infection ki aik qisam hai jo jinsi taluqaat ke douran 1 shakhs se dosray mein muntaqil ho sakti hai. sti ki kayi mukhtalif kasmain hain jo mukhtalif qisam ke keeron ki wajah se hoti hain. sti ki aksar koi alamaat nahi hoten .,,
What are the Types of Sexually Transmitted Infections?,"Well, several bugs such as bacteria, viruses, parasites can cause STI of varying severity. Most common among those are chlamydia and gonnorhea, but there are many others including syphilis, hepatitis B and C, trichomonas, Human papillomavirus (HPV), herpes, and HIV/AIDS.",jinsi tor par muntaqil honay walay infection ki aqsam kya hain ?,"theek hai, kayi keeray jaisay bacteria, virus, parasites mukhtalif shiddat ke sti ka sabab ban satke hain. un mein sab se ziyada aam chlamydia aur gonorhoea hain, lekin syphilis, hepatitis bi aur si, trichomonas, human papillomavirus ( hpv ), herpes aur HIV aids samait bohat se dosray hain .",,
What is chlamydia?,"It is a type of bacteria that can be passed fron one oerson to another while having sexual contact, it may cause  it may produce discharge from vagina (or penis in males)",chlamydia kya hai ?,"yeh bacteria ki aik qisam hai jo jinsi talluq ke douran aik dosray se dosray mein muntaqil ho sakti hai, yeh andaam nihani/vagina ( ya mardon mein uzoo tanasul ) se kharij honay ka sabab ban sakti hai .",,
What is syphilis?,"syphilis is caused by a bug called Treponema pallidum. It causes ulcer over the private part (genital region) and if left untreated the condition may progress to further stages. 
The condition can be cured with antibiotics. 
If left untreated, syphilis can be passed from mother to baby. 
",aatishak/syphilis kya hai ?,"aatishak/syphilis treponema pallidum Nami keeray ki wajah se hoti hai. yeh private part ( genital region ) par alsar ka sabab bantaa hai aur agar ilaaj nah kya jaye to yeh haalat mazeed marahil tak barh sakti hai .
 haalat antibiotics se theek ki ja sakti hai .
 agar ilaaj nah kya jaye to aatishak maa se bachay mein muntaqil ho sakti hai .",,
What is gonorrhoea?,Gonorrhoea i acquired causes abnormal discharge from the front passage. It can be successfully treated by taking a short course of antibiotics. .,gonorrhoea kya hai ?,Gonorhoea mein ne haasil kya hai samnay ke rastay se ghair mamooli kharij honay ka sabab bantaa hai. antibiotics ka mukhtasir course le kar is ka kamyabi se ilaaj kya ja sakta hai. .,,
What is Hepatitis B?,"hepatitis B gets transmitter via sexual contact. It’s basically a virus that can get spread not just via sexual contact but also by transfusion of blood of a person who already has hepatitis b. 
This bug causes problems of liver in the long run. 
Thankfully, hepatitis b vaccines are available easily.
",Hepatitis B kya hai ?,"Hepatitis B jinsi raabtey ke zariye muntaqil hota hai. yeh bunyadi tor par aik virus hai jo nah sirf jinsi raabtey se balkay kisi aisay shakhs ke khoon ki muntaqili se bhi phail sakta hai jisay pehlay hi hepatitis bi hai .
 yeh keeray taweel arsay mein jigar ke masail ka baais bantay hain .
 shukar hai ke hepatitis bi ki vaccine aasani se dastyab hain .",,
What is Hepatitis C?,"Hepatitis C is a bug (virus) that causes infection of the liver. The virus can spread by various means and one among them is via sexual contact. Other means include sharing infected needles, getting blood transfused from a person who is infected with hepatitis c. a baby can get the virus from mother, usually at the time of delivery. 
Unfortunately the bug doesn’t produce any problems until the liver starts getting damaged and the functions of liver getting affected. 
Vaccination isn’t available against the virus up till now and cure is also not possible. But drugs are available to slow down the progression of the disease.

",Hepatitis C kya hai ?,"Hepatitis C aik bug ( virus ) hai jo jigar ke infection ka sabab bantaa hai. virus mukhtalif tareeqon se phail sakta hai aur un mein se aik jinsi raabtey ke zariye hai. dosray zaraye mein mutasirah soyyan baantna, Hepatitis C se mutasirah shakhs se khoon ki muntaqili shaamil hain. bacha maa se virus le sakta hai, aam tor par paidaiesh ke waqt .
 bad qismati se big is waqt tak koi masla peda nahi karta jab tak ke jigar kharab nah ho jaye aur jigar ke af-aal mutasir nah hon .
 abhi tak virus ke khilaaf vaccination dastyab nahi hai aur ilaaj bhi mumkin nahi hai. lekin bemari ke bherne ko kam karne ke liye duwaein dastyab hain .",,
What is trichomonas?,It is a bug that is spread via sexual contact. It causes vaginal discharge and itching in the private part. The infection may be treated by a short course of antibiotics.,trichomonas kya hai ?,yeh aik bug hai jo jinsi raabtey ke zariye phialta hai. yeh andaam nihani/vagina se kharij honay wala madah/discharge aur sharamgah mein kharish ka baais bantaa hai. infection ka ilaaj antibiotics ke mukhtasir course se kya ja sakta hai .,,
"What is Human papillomavirus (HPV)?
","It is a virus that causes warts and cervical cancer. The virus is spread via close contact and sexual contact. 
",human papillomavirus( hpv ) kya hai ?,yeh aik virus hai jo masson aur cervical cancer ka sabab bantaa hai. yeh virus qareebi raabtey aur jinsi raabtey se phailta hai .,,
What is herpes?,"It is a virus that is spread via sexual contact. It causes painful blisters around the private. Unfortunately the virus cannot be completely cleared but treatment can be provided to get rid from the symptoms/ problem that it causes. ",herpes kya hai ?,yeh aik virus hai jo jinsi raabtey ke zariye phialta hai. yeh private ke ird gird dard naak chhaalon ka sabab bantaa hai. bad qismati se virus ko mukammal tor par saaf nahi kiya ja sakta lekin is ki wajah se honay wali alamaat ke maslay se chhutkara panay ke liye ilaaj faraham kya ja sakta hai .,,
What is HIV/AIDS?,"Having HIV infection doesn’t mean that a person has AIDS. 
HIV stands for Human Immunodeficiency virus that causes  AIDS (acquired immunodeficiency syndrome). 
HIV infections spreads by sexual contact, from mother to baby during pregnancy or while giving birth, sharing contaminated needles, getting blood transfused from an HIV positive person.  
Every person who is infected with HIV doesnt develop AIDS
",AIDS/HIV kya hai?,"HIV infection honay ka matlab yeh nahi hai ke kisi shakhs ko aids hai .
 HIV ka matlab human Immunodeficiency  virus hai jo aids ( acquired immunodeficiency syndrome) ka sabab bantaa hai .
 HIV infection jinsi raabtey se phialta hai, hamal ke douran maa se bachay mein ya bachay ko janam dainay ke douran, aaloda soyyan baantane, HIV misbet shakhs se khoon lagwanay se .
 har woh shakhs jo HIV se mutasir hota hai is mein aids nahi hota",,
What are the symptoms of HIV?,"Initially, as soon as a person is infected with HIV it causes flu-like symptom.
Basically this virus attacks our immune system and it takes several years for the immune cells to get affected enough to produce symptoms. So, after several years the person starts getting infections oof several types from head ton to toe as the body’s immune system is too weak to combat the bugs. ",HIV ki alamaat kya hain ?,"ibtidayi tor par, jaisay hi koi shakhs HIV se mutasir hota hai yeh flow jaisi alamat ka sabab bantaa hai .
 bunyadi tor par yeh virus hamaray mdafati nizaam par hamla karta hai aur mdafati khalion ko is had tak mutasir honay mein kayi saal lagtay hain ke woh alamaat peda kar saken. lehaza, kayi saloon ke baad insaan ko sir se le kar paon tak kayi qisam ke infection honay lagtay hain kyunkay jism ka mdafati nizaam keeron ka muqaabla karne ke liye bohat kamzor hai .",,
How can you prevent HIV?,"If you think you have been exposed to hiv and it hasn’t been 72 hours yet then you can get Post-exposure prophylaxis

If you use injection for any purpose, make sure that it hasn’t been used previously.

If one needs blood transfusion, make sure that it’s from an authentic blood bank that offers genuine screening of the donor’s blood.

If you are a healthcare professional then you must take precautions to avoid needle stick injuries

If you are pregnant and HIV positive, you must vist your gynaecologist as soon as possible and discuss the p[lan of treatment and mode of delivery of the baby to prevent baby from getting exposed to hiv",aap HIV ko kaisay rokkk satke hain ?,"agar aap ko lagta hai ke aap ko HIV ka saamna sun-hwa hai aur abhi 72 ghantay nahi hue hain to aap post exposure prophylaxis haasil kar satke hain .
 
 agar aap injunction kisi bhi maqsad ke liye istemaal karte hain, to yakeeni banayen ke yeh pehlay istemaal nahi sun-hwa hai .
 
 agar kisi ko khoon ki muntaqili ki zaroorat ho to yakeeni banayen ke yeh kisi mustand blood bank se hai jo atiyah dahindgaan ke khoon ki haqeeqi screening paish karta hai .
 
 agar aap health care professional hain to aap ko soi ki chhari ki choton se bachney ke liye ahteyati tadabeer ikhtiyar karni chahiye
 
 agar aap haamla hain aur HIV pazityo hain, to aap ko jald az jald –apne gaynakalojst se milna chahiye aur bachay ko HIV se mutasir honay se roknay ke liye ilaaj ke tareeqa car aur bachay ki paidaiesh ke tareeqa car par tabadlah khayaal karna chahiye .",,
I think I may have a Sexually Transmitted Infection.,"Do you have: 
1. discharge from vagina? 
2. Abnormal vaginal bleeding? 
3. Any abnormality like like soreness, ulcer, rash, or swelling around the private part? 
4. Pain while having sex? 
5. Rarely, pain when you pass urine? 
6. Are you worried if you some vaginal infection but they don’t show any of these symptoms?
",mujhe lagta hai ke mujhe jinsi tor par muntaqil honay wala infection/Sexually Transmitted Infection ho sakta hai .,"kya aap ke paas hai :
 1. andaam nihani/vagina se madah/discharge ?
 2. andaam nihani/vagina se ghair mamooli khoon behna ?
 3. koi ghair mamooli cheez jaisay dard, alsar, sharamgah ke ird gird soojan ?
 4. jinsi taluqaat/sex ke douran dard ?
 5. Shaz o nadir hi, jab aap pishaab karte hain to dard hota hai ?
 6. kya aap pareshan hain agar aap ko andaam nihani/vagina mein infection hai lekin woh un mein se koi alamat nahi dikhata hain ?",,
Yes I think I have or may have these symptoms.,1 it is possible that you have a vaginal infection called sexually transmitted infection (STI).,haan mujhe lagta hai ke mujhe yeh alamaat hain ya ho sakti hain .,yeh mumkin hai ke aap ko andaam nihani/vagina mein infection ho jisay jinsi tor par muntaqil honay wala infection ( sti ) kaha jata hai .,,
How can I treat Sexually Transmitted Infections?,"Treatment of STI depends upon the type of bug that has caused it. Some can be cured completely, like incase of chlamydia, gonorrhea, trichomonas  and syphilis. Whereas at times the infection cannot be cured completely for instance in case of herpes but one can be given treatment to reduce the flare up of disease.  

Treatment of hepatitis B and C as well as of HIV is done with combination therapy and continuous monitoring, and despite of that the complete cure can not be possible. Treatment is to avoid symptoms, prevent complications and spread of the disease. 

It is also important to note that some STIs can spread therefore it is important to take necessary precautions to prevent the further spread of the disease.",mein jinsi tor par muntaqil honay walay infection ka ilaaj kaisay kar sakta hon ?,"sti ka ilaaj is maslay ki qisam par munhasir hai jis ki wajah se yeh sun-hwa hai. kuch ko mukammal tor par theek kya ja sakta hai, jaisay chlamydia, sozaak, trichomonas aur aatishak ki soorat mein. jabkay baaz auqaat herpes ki soorat mein infection mukammal tor par theek nahi ho sakta lekin bemari ke bharak uthnay ko kam karne ke liye ilaaj diya ja sakta hai .
 
 hepatitis bi aur si ke sath sath HIV ka ilaaj imtezaaj therapy aur musalsal nigrani se kya jata hai aur is ke bawajood mukammal ilaaj mumkin nahi hai. ilaaj alamaat se bachna, pechidgion aur bemari ke phelao ko rokna hai .
 
 yeh note karna bhi zaroori hai ke kuch stis phail satke hain is liye bemari ke mazeed phelao ko roknay ke liye zaroori ahteyati tadabeer ikhtiyar karna zaroori hai .",,
What can I do to Prevent the spreading of Sexually Transmitted infections.,"Using condoms while sex  not only provides protection against transmission of STI but it is  also for contraception.

If you’re  diagnosed with STI then:
. It is highly advised to avoid any kind of intimate/ sexual contact entirely if you have been diagnosed with STI. one can resume sexual activity after getting fully treated.  
. DO NOT donate blood.
. do not share needles, razors or any sharp objects meant for personal use.
If you have any cut or any sort of wound, you should better keep it covered.",mein jinsi tor par muntaqil honay walay infection ke phelao ko roknay ke liye kya kar sakta hon .,"jinsi taluqaat ke douran kndom ka istemaal nah sirf sti ki muntaqili se tahaffuz faraham karta hai balkay yeh Maney hamal ke liye bhi hai .
 
 agar aap ko sti ki tashkhees hui hai to :
 . agar aap ko STI ki tashkhees hui hai to kisi bhi qisam ke mubashrat jinsi raabtey se mukammal tor par guraiz karne ka mahswara diya jata hai. mukammal ilaaj karwanay ke baad koi bhi jinsi sargarmi dobarah shuru kar sakta hai .
 . khoon ka atiyah nah den .
 . zaati istemaal ke liye soyyan, astra ya koi taiz dhaar cheez share nah karen .
 agar aap ke paas koi kat ya kisi qisam ka zakham hai, to aap ko behtar tor par usay dhaanp kar rakhna chahiye .",,
Yes I think I dont have or may have these symptoms.,"Then it is possible that you do not have these symptoms. However, you can still ask a doctor for help.",haan mujhe lagta hai ke mujhe yeh alamaat nahi hain ya ho sakti hain .,"phir yeh mumkin hai ke aap mein yeh alamaat nah hon. taham, aap phir bhi dr se madad maang satke hain .",,
What is the difference between Sexually Transmitted Infection (STI) and Sexually Transmitted Disease (STD)?,"don't worry, both the terms refer to similar condition. previously the condition was called as sexually transmitted diseases, but having a disease means the conditions always present with symptoms, whereas it's not necessary to have symptoms with infections. because the said condition at times can be asymptomatic hence the name was changed to sexually transmitted infections.
",jinsi tor par muntaqil honay walay infection ( sti ) aur jinsi tor par muntaqil honay wali bemari ( std ) mein kya farq hai ?,"pareshan nah hon, dono eslehaath aik jaisi haalat ka hawala dete hain. pehlay is haalat ko jinsi tor par muntaqil honay wali bemariyan kaha jata tha, lekin bemari honay ka matlab hai ke halaat hamesha alamaat ke sath mojood hotay hain, jabkay infection ke sath alamaat ka hona zaroori nahi hai. kyunkay mazkoorah haalat baaz auqaat ghair allamti ho sakti hai is liye is ka naam badal kar jinsi tor par muntaqil honay walay infection kar diya gaya .",,
What are some symptoms of Sexually Transmitted Infection (STI)?,"Some symptoms of Sexually Transmitted Infections include:
1. discharge from vagina?
2. Abnormal vaginal bleeding
3. Any abnormality like like soreness, ulcer, rash, or swelling around the private part
4. Pain while having sex
5. Rarely, pain when you pass urine",jinsi tor par muntaqil honay walay infection ( sti ) ki kuch alamaat kya hain ?,"jinsi tor par muntaqil honay walay infection ki kuch alamaat mein shaamil hain :
 1. andaam nihani/vagina se madah/discharge ?
 2. andaam nihani/vagina se ghair mamooli khoon behna
 3. koi ghair mamooli cheez jaisay dard, alsar, kharish, ya sharamgah ke ird gird soojan
 4. jinsi taluqaat ke douran dard
 5. Shaz o nadir hi, jab aap pishaab karte hain to dard hota hai .",,
I have some of these symptoms / My partner has some of these symptoms.,You and your partner need to get treatment. You should get your and your partner checked by a doctor or expert for the type of infection that you may have.,mujhe un mein se kuch alamaat hain mere saathi ko un mein se kuch alamaat hain .,aap aur aap ke saathi ko ilaaj karwanay ki zaroorat hai. aap ko apne aur apne saathi ko kisi dr ya maahir se un infection ki qisam ki jaanch karana chahiye jo aap ko ho sakta hai .,,
How can I get treatment for Sexually Transmitted Infection (STI)?,"Treatment of STI depends upon the type of bug that has caused it. Some can be cured completely, like incase of chlamydia, gonorrhea, trichomonas  and syphilis. Whereas at times the infection cannot be cured completely for instance in case of herpes but one can be given treatment to reduce the flare up of disease.  
Treatment of hepatitis B and C as well as of HIVy is done with combination therapy and continuous monitoring.",mein jinsi tor par muntaqil honay walay infection ( sti ) ka ilaaj kaisay kar sakta hon ?,"sti ka ilaaj is maslay ki qisam par munhasir hai jis ki wajah se yeh sun-hwa hai. kuch ko mukammal tor par theek kya ja sakta hai, jaisay chlamydia, sozaak, trichomonas aur aatishak ki soorat mein. jabkay baaz auqaat herpes ki soorat mein infection mukammal tor par theek nahi ho sakta lekin bemari ke bharak uthnay ko kam karne ke liye ilaaj diya ja sakta hai .
 hepatitis bi aur si ke sath sath HIV ka ilaaj imtezaaj therapy aur musalsal nigrani se kya jata hai .",,
Im worried if I have an STI.,"There are certain screening tests that can help you to find out if you have any sort of STI or not.There are certain STIs that cause lesion that can be identified  on physical examination (by looking at the private part) for instance ‘warts’ caused by human papilloma virus (HPV).

Other causes of STIs like chlamydia, gonorrhoea and trichomonas  can be found by ‘swab’ test. A swab is like a cotton bud  the is rotated around the areas like vagina, penis, back passage, and sometimes even throat and the swab  is examined under microscope and/ or sent to laboratory for closer examination.

Infections due to chlamydia can also be detected by urine test.

For certain causes, like Hepatitis B, hepatitis C and HIV, blood tests are required. However, if you are worried then you should ask a doctor or expert for help.",agar mujhe sti hai to mein pareshan hon .,"kuch screening test hain jo aap ko yeh maloom karne mein madad kar satke hain ke aaya aap ko kisi qisam ka sti hai ya nahi. kuch stis aisay hain jin ki wajah se jismani muaina ( private part ko dekh kar ) mein zakham ki nishandahi ki ja sakti hai misaal ke tor par' massay' ki wajah se. insani papillomavirus ( hpv ) ke zariye .
 
 sti ki deegar wajohaat jaisay chlamydia, sozaak aur trichomonas ko' swab' test se maloom kya ja sakta hai. jharoo cotton bidder ki terhan hota hai jisay andaam nihani/vagina , uzoo tanasul, pichlle rastay, aur baaz auqaat gilaay ke gird bhi ghumaya jata hai aur jharoo ko khordbeen ke neechay jancha jata hai aur ya qareeb se jaanch ke liye laboratory mein bheja jata hai .
 
 chlamydia ki wajah se honay walay infection ka pata pishaab ke test se bhi lagaya ja sakta hai .
 
 baaz wajohaat ke liye, jaisay hepatitis bi, hepatitis si aur each aayi v, khoon ke test ki zaroorat hoti hai. taham, agar aap pareshan hain to aap ko kisi dr ya maahir se madad maangni chahiye .",,
Should I inform my partner? Is it necessary to inform my partner?,"STI treatment is incomplete without partner being investigated for STIs and treated as per need, 
Treatment of partner is essential because if partner carries the bug and it will again be transmitted to you while sex and you might end up with complications of STI. therefore, to end this vicious cycle of re-infections it is important to involve partner in the treatment plan.",kya mujhe apne saathi ko mutala karna chahiye? kya apne saathi ko mutala karna zaroori hai ?,"STI ka ilaaj is waqt namukammal hai jab partners se STI ki tehqiqaat nahi ki jayen aur zaroorat ke mutabiq ilaaj kya jaye ,
 saathi ka ilaaj zaroori hai kyunkay agar saathi keeray ko le jata hai aur yeh dobarah aap ko jinsi taluqaat ke douran muntaqil kya jaye ga aur aap sti ki pechidgion ke sath khatam ho satke hain. lehaza, dobarah infection ke is shaytani chakkar ko khatam karne ke liye ilaaj ke mansoobay mein shiraakat daar ko shaamil karna zaroori hai .",,
"I feel sad and depressed and can’t share it with anyone.
","I can understand how you feel. But you need to understand that it’s not your fault if you have STI. 
You should share it with your partner and doctor at least as it would help you in the treatment and to seek help for the sake of your health is your right and your own responsibility.
you can also can seek expert/ psychologist support and talk your worries out if you have problems facing it . ",mein udaas aur afsurdah mehsoos karta hon aur usay kisi ke sath share nahi kar sakta .,"mein samajh sakta hon ke aap kaisa mehsoos kar rahay hain. lekin aap ko yeh samajhney ki zaroorat hai ke agar aap ko sti hai to yeh aap ki ghalti nahi hai .
 aap ko usay –apne saathi aur dr ke sath zaroor share karna chahiye kyunkay is se aap ko ilaaj mein madad miley gi aur aap ki sehat ki khatir madad lena aap ka haq aur aap ki apni zimma daari hai .
 aap maahir nafsiat ki madad bhi haasil kar satke hain aur agar aap ko is ka saamna karna parta hai to apni pareshaniyon ko daur kar satke hain .",,
What are some facts about Sexually Transmitted Infections?,"There are certain factors that contribute to the spread of STIs. these include  Unsafe sexual practices, homosexuality, unsafe blood transfusion,iv drug abuse and reusing syringes.

Not every type of vaginal discharge mean that a personal has STI. At times, vaginal discharge is normal. There are certain infections like thrush and bacterial vaginosis that may also cause vaginal discharge and itching but they are not STIs

If you are diagnosed with any STI it is extremely important to tell your partner about it and convince the partner to see a health professional for the sake of investigations and treatment. 
",jinsi tor par muntaqil honay walay infection ke baray mein kuch haqayiq kya hain ?,"kuch aisay awamil hain jo stis ke phelao mein Muawin hain. un mein ghair mehfooz jinsi amal, hum jins parasti, ghair mehfooz khoon ki muntaqili, iv manshiat ka istemaal aur syringes ka dobarah istemaal shaamil hain .
 
 har qisam ke andaam nihani/vagina se kharij honay walay madah/discharge ka matlab yeh nahi hai ke kisi shakhs ko sti hai. baaz auqaat andaam nihani/vagina se kharij hona mamool ki baat hai. kuch infection hain jaisay thrush aur bacterial vaginosis jo andaam nihani/vagina se kharij honay walay madah/discharge aur kharish ka sabab bhi ban satke hain lekin woh STI nahi hain .
 
 agar aap ko kisi bhi STI ki tashkhees hui hai to –apne saathi ko is ke baray mein batana aur saathi ko tehqiqaat aur ilaaj ki khatir sehat ke pesha war se milnay ke liye raazi karna intehai zaroori hai .",,
