Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
i will try that. thankyou,Anytime! Feel free to message me again whenever you have a question.,mein is ki koshish karoon gi. aap ka shukriya,kisi bhi waqt! jab bhi aap ko koi sawal ho to bilaa jhijhak mujhe dobarah msg karen .
hi,"Hello, how are you doing today?",hello,kya haal hai? aajkal kya ho raha hai ?
hi,Hello! How can I help you today?,hello,hello! aaj mein aap ki madad kaisay kar sakti hon ?
Hi Mai,"Hello, how are you doing today?",hello Mai,kya haal hai? aajkal kya ho raha hai ?
how should we control pain of periods,"To reduce period cramps and pain you can try the following things: placing a heating pad on your belly or lower back, or having a hot bath. Cramps are a pretty standard part of having your period. But if your period pain is so painful that you can’t take part in everyday life, please consult your doctor.",hamein mahvari ke dard ko kaisay control karna chahiye ?,"mahvari ke dard  ko kam karne ke liye aap darj zail cheezon ko aazma sakte hain : –apne pait ya kamar ke nichale hissay par heating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le sakte to barah karam –apne doctor se rujoo karen ."
okay nice,Is there anything else I can help you with?,acha acha,kya koi aur cheez hai jis mein mein aap ki madad kar sakti hon ?
b,Very well then. I am here whenever you have a question.,bye,phir bohat acha. jab bhi aap se koi sawal ho to mein haazir hon .
bye,"It was nice talking to you, see you later!",’alvidah’,"aap se baat kar ke acha laga, baad mein mlitay hain !"
Is there any trouble if you've excessive periods ?,"Your period is irregular if it comes more frequently than 21 days, or you go 35 days or more between periods. For irregular periods there usually is no immediate reason to consult your doctor. But if you are concerned, please do so. If you need contraception your doctor can help you with that by prescribing you hormonal contraceptives which do not only reliably prevent unintended pregnancies but can also stabilize your menstrual cycle so that you can better plan for your periods.",agar aap ko ziyada mahvari ho to kya koi pareshani hai ?,"aap ki mahvari be qaida hai agar yeh 21 din se ziyada kasrat se aati hai, ya aap mahvari ke darmiyan 35 din ya is se ziyada jatay hain. fasid periods ke liye aam tor par –apne doctor se mahswara karne ki koi fori wajah nahi hoti. lekin agar aap fikar mand hain to barah karam aisa karen. agar aap ko maney hamal/contraception ki zaroorat ho to aap ka doctor aap ko hormonal maney hamal/contraception adwiyaat tajweez kar ke aap ki madad kar sakta hai jo nah sirf ghair iraadi hamal ko qabil aetmaad tareeqay se roktay hain balkay aap ke mahvari ko bhi mustahkam kar sakte hain taakay aap –apne mahvari ke liye behtar mansoobah bandi kar saken ."
hey,Hi! How are you feeling today?,hey,hey! aaj aap kaisa mehsoos kar rahay hain ?
hi,Hello! How can I help you today?,hello,hello! aaj mein aap ki madad kaisay kar sakti hon ?
I have a question,How can I help?,mera aik sawal hai,mein kis terhan madad kar sakti hon ?
can we take medicine for period pain,"Before taking any medication, be sure to consult your doctor so that they may guide you properly. Hormonal medications are sometimes prescribed to treat the symptoms of period pain.",kya hum mahvari ke dard ke liye dawa le sakte hain ?,koi bhi dawa lainay se pehlay –apne doctor se zaroor mahswara karen taakay woh aap ki sahih rahnumai kar saken. hormonal adwiyaat baaz auqaat mahvari ke dard ki alamaat ke ilaaj ke liye tajweez ki jati hain .
is it dangerous to take painkillers for mentrual cramps?,"Before taking any medication, be sure to consult your doctor so that they may guide you properly. Hormonal medications are sometimes prescribed to treat the symptoms of period pain.",kya mahvari ke dard ke liye painkillers lena khatarnaak hai ?,koi bhi dawa lainay se pehlay –apne doctor se zaroor mahswara karen taakay woh aap ki sahih rahnumai kar saken. hormonal adwiyaat baaz auqaat mahvari ke dard ki alamaat ke ilaaj ke liye tajweez ki jati hain .
how manybdays should a period cycle lasts normally,"Your period should last between 3 and 8 days, but it will usually last for about 5 days. The bleeding tends to be heaviest in the first 2 days.",mahvari ka chakkar aam tor par kitney din chalna chahiye .,"aap ki mahvari 3 se 8 din ke darmiyan honi chahiye, lekin yeh aam tor par taqreeban 5 din tak rahay gi. khoon behna pehlay 2 dinon mein sab se ziyada hota hai ."
hi,Hello!,hello,hello !
hi,Hello!,hello,hello !
hi,"Hello, how are you doing today?",hello,kya haal hai? aajkal kya ho raha hai ?
should you take a shower during periods,You can shower from the first day till the last. Having a shower does not effect your period in any way.,kya aap ko mahvari ke douran nahana chahiye ?,aap pehlay din se aakhri din tak naha sakte hain. nahanay se aap ki mahvari par kisi bhi terhan se assar nahi parta hai .
You should not sleep in the same room as your family during menstruation. is this true?,Menstruation is not contagious and causes no harm to anyone.,mahvari ke douran aap ko –apne khandan walay kamray mein nahi sona chahiye. kya yeh sach hai ?,haiz mutaddi nahi hai aur kisi ko koi nuqsaan nahi pohanchata .
Does the mesturing cycle end in 7 days or more than it,"The menstrual bleeding usually lasts between 3 to 7 days, but the entire menstrual cycle can last between 21 to 35 days. The length of the menstrual cycle can vary from person to person and even from month to month in the same person.

So while the menstrual bleeding may end in 7 days or less for some women, the entire menstrual cycle typically lasts longer than that. If you have concerns about your menstrual cycle, it is always a good idea to talk to your doctor.",kya haiz 7 din ya is se ziyada mein khatam ho jata hai ?,"mahvari ka khoon aam tor par 3 se 7 din ke darmiyan rehta hai, lekin mahvari ka poora daur 21 se 35 din tak jari reh sakta hai. mahvari ki lambai 1 shakhs se dosray shakhs mein aur aik hi shakhs mein mahinay se mahinay tak mukhtalif ho sakti hai .

lehaza jab ke baaz khawateen ke liye mahvari ka khoon 7 din ya is se kam waqt mein khatam ho sakta hai, lekin mahvari ka poora daur aam tor par is se ziyada taweel hota hai. agar aap ko –apne mahvari ke baray mein khadshaat hain, to –apne doctor se baat karna hamesha acha khayaal hai "
why does it period pain is more on the first day,"You may be experiencing pre-menstrual syndrome or PMS. PMS occurs right before a women gets her period. PMS has the following symptoms inlcuding irritation, mood swings, bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts.",mahvari mein dard pehlay din ziyada kyun hota hai ?,"ho sakta hai aap ko mahvari se pehlay ke syndrome ya pms ka saamna ho. PMS aurat ki mahvari se pehlay hi hota hai. PMS mein darj zail alamaat hain jin mein chirchira pan, mood mein tabdeeli, aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain ."
at what age period stop,Menopause is the time that marks the end of your menstrual cycles. It's diagnosed after you've gone 12 months without a menstrual period. Menopause can happen in your 40s or 50s.,mahvari kis Umar mein ruk jati hai ?,rajunoorti/menopause woh waqt hai jo aap ke mahvari ke ekhtataam ki nishandahi karta hai. is ki tashkhees is waqt hoti hai jab aap 12 mah baghair haiz ke guzar chuke hon. rajunoorti/menopause aap ke 40 ya 50 ki dahai mein hosakti hai .
why do period pain occurs before periods?,"A common cause of period pain is Premenstrual Syndrome or PMS for short. PMS occurs right before a women gets her period. These symptoms are caused by the hormonal changes of the cycle. PMS has the following symptoms inlcuding irritation, mood swings, bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts.",mahvari se pehlay dard kyun hota hai ?,"mahvari mein dard ki aik aam wajah premenstrual syndrome ya pms mukhtsiran hai. PMS aurat ki mahvari se pehlay hi hota hai. yeh alamaat cycle ki hormonal tabdeelion ki wajah se hoti hain. PMS mein darj zail alamaat hain jin mein chirchira pan, mood mein tabdeeli, aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain ."
are menstrual cups effective,"Yes, they are! But they are inconveniently large. Some women will just order them from the nearest store or order them online through DARAZ.Here is a link for it: https://www.daraz.pk/catalog/?q=pads&_keyori=ss&from=input&spm=a2a0e.searchlist.search.go.8c6029b8wWUnZl",mahvari ke cupp muaser hain,haan woh hain! lekin woh takleef da had tak barray hain. kuch khawateen inhen qareebi store se order karen gi ya daraaz ke zariye online order karen gi. is ke liye yeh link hai : https:www.daraz.pk/catalog/?q=pads&_keyori=ss&from=input&spm=a2a0e.searchlist.search.go.8c6029b8wwunzl
how do i educate myself on periods,"You can ask me any questions you have about periods and I will do my best to answer them. You can also dicuss with your mother, sisters, and aunts.",mein –apne aap ko mahvari ke baray mein kaisay taleem dun ?,"aap mahvari ke baray mein koi bhi sawal pooch sakte hain aur mein un ka jawab dainay ki poori koshish karoon ga. aap apni maa, behnoon aur auntiyon se bhi baat kar sakte hain ."
what does one do when they get periods suddenly,You should wash your hands with soap and water and place a sanitary pad in your underwear. Replace the used pad with a new pad every four to eight hours.,achanak mahvari anay par kya kere ?,aap –apne haath sabun aur pani se dhowen aur –apne zair jama mein sanitary pad rakhen. istemaal shuda pad ko har chaar se aath ghantay baad naye pad se tabdeel karen .
are periods a dirty thing to talk about,"Menstruation is a taboo topic in some cultures but it should not be. You should not feel ashamed talking about periods. They are not dirty, buut are a natural occurance for women. I am here to clarify any confusions you may have about menstruation. needed to manage their menstrual health safely should avoid sexual activity.",periods ke baray mein baat karna aik gandi cheez hai kya,"baaz sqafton mein haiz aik mamnoo mauzo hai lekin aisa nahi hona chahiye. aap ko mahvari ke baray mein baat karte hue sharam mehsoos nahi karni chahiye. woh ganday nahi hain, lekin khawateen ke liye aik qudrati waqea hain. mein yahan haiz ke baray mein aap ko honay wali kisi uljan ko wazeh karne ke liye haazir hon. apni mahvari ki sehat ko mehfooz tareeqay se munazzam karne ke liye zaroori hai ke jinsi sargarmi se guraiz karen ."
how do women deal with the stigma surrounding periods,"Menstruation is a taboo topic in some cultures but it should not be. You should not feel ashamed talking about periods. They are not dirty, buut are a natural occurance for women. I am here to clarify any confusions you may have about menstruation. needed to manage their menstrual health safely should avoid sexual activity.",khawateen mahvari ke ird gird badnuma daagh se kaisay nimatti hain .,"baaz sqafton mein haiz aik mamnoo mauzo hai lekin aisa nahi hona chahiye. aap ko mahvari ke baray mein baat karte hue sharam mehsoos nahi karni chahiye. woh ganday nahi hain, lekin khawateen ke liye aik qudrati waqea hain. mein yahan haiz ke baray mein aap ko honay wali kisi uljan ko wazeh karne ke liye haazir hon. apni mahvari ki sehat ko mehfooz tareeqay se munazzam karne ke liye zaroori hai ke jinsi sargarmi se guraiz karen ."
is it okay to exercise during periods,"Of course! You can take on whatever sport you love! Run, bike, dance, rock climb! Your period is not a sickness and you don’t need to rest or take it easy. In fact, healthcare professionals recommend being active as a way to reduce those awful cramps.",kya mahvari ke douran werzish karna theek hai ?,"bilkul! aap jo bhi khail pasand karte ho usay le sakte hain! dauro, motorcycle, raqs, raak charhna! aap ka dorania koi bemari nahi hai aur aap ko aaraam karne ya aaraam karne ki zaroorat nahi hai. dar haqeeqat, sehat ki dekh bhaal karne walay pesha war afraad un khofnaak dardon ko kam karne ke tareeqay ke tor par fa-aal rehne ki tajweez karte hain ."
hi,Hi! How are you feeling today?,hello,hey! aaj aap kaisa mehsoos kar rahay hain ?
Hi mai. I am a bit worried regarding my menstrual cycle,"Don't worry, I am here to help you. Feel free to ask me questions about menstruation.",hey Mai. mein –apne mahvari ke hawalay se qadray pareshan hon .,"pareshan nah hon, mein aap ki madad ke liye haazir hon. bilaa jhijhak mujh se mahvari ke baray mein sawalaat poucheen ."
is it painful?,"Painful period cramps could be caused by heavy menstrual bleeding, which often affects you to take part in everyday life around your period. Or they could be due to irritants or some other disease. In this painful condition, the cells or tissue lining the uterus, grow outside the uterus. You should see your doctor who can do a blood test and get your history to help you get better. Some hormonal contraceptives are registered for women or girls with heavy menstrual cramps.",kya yeh takleef da hai ?,"mahvari ke douran bohat ziyada khoon behnay ki wajah se dard naak doraniye ke dard ho sakte hain, jo aksar aap ko apni mahvari ke aas paas roz marrah ki zindagi mein hissa lainay par assar andaaz karta hai. ya woh kharish ya kisi aur bemari ki wajah se ho sakte hain. is takleef da haalat mein bacha daani/uterus ke andar mojood khaliyaat ya tissue bacha daani/uterus ke bahar barhatay hain. aap ko –apne doctor se milna chahiye jo khoon ki jaanch kar sakta hai aur aap ki history haasil kar sakta hai taakay aap ko behtar honay mein madad miley. kuch hormonal maney hamal/contraception khawateen ya larkiyon ke liye registered hain jin ko mahvari mein shadeed dard hota hai ."
Is it true that you menstrual pain isn't normal?,Mild back pain is normal and is a symptom of menstruation.,kya yeh sach hai ke aap ko mahvari mein dard aam nahi hai ?,kamar mein halka dard mamool ki baat hai aur yeh mahvari ki alamat hai .
what about extreme amounts of pain?,"Painful period cramps could be caused by heavy menstrual bleeding or by endometriosis. In endometriosis, the cells or tissue lining the uterus, grow outside the uterus. You should see your doctor who can do a blood test and get your history to help you get better.",dard ki intehai miqdaar ke baray mein kya khayaal hai ?,"dard naak doraniye ke dard ki wajah mahvari mein bhaari khoon behnay ya endometriosis ki wajah se ho sakta hai. endometriosis mein, bacha daani/uterus ke aster/lining walay khaliyaat ya tissue, bacha daani/uterus ke bahar barhatay hain. aap ko –apne doctor se milna chahiye jo khoon ki jaanch kar sakta hai aur aap ki history haasil kar sakta hai taakay aap ko behtar honay mein madad miley ."
hi,Hi! How are you feeling today?,hello,hey! aaj aap kaisa mehsoos kar rahay hain ?
salam,WSalam.,salam,Wsalam
hi,Hello! How are you feeling today?,hello,hello! aaj aap kaisa mehsoos kar rahay hain ?
ive a question.,How can I help?,aik sawal hai .,mein kis terhan madad kar sakti hon ?
what do you actually mean by tampons?,"A tampon is a menstrual product designed to absorb blood and vaginal secretions by insertion into the vagina during menstruation. Unlike a pad, it is placed internally inside of the vaginal canal. Once inserted correctly, a tampon will be held in place by the vagina and expands as it soaks up menstrual blood.",tampon ka asal matlab kya hai ?,"tampon aik mahvari ki masnoaat hai jo haiz ke douran andaam nihani/vagina mein daakhil karkay khoon aur andaam nihani/vagina ki رطوبتوں ko jazb karne ke liye design ki gayi hai. pad ke bar aks, yeh andaam nihani/vagina ki naali ke andar andar rakha jata hai. aik baar sahih tareeqay se daakhil karne ke baad, aik tampon andaam nihani/vagina ke zareya apni jagah par rakha jaye ga aur phialta hai kyunkay yeh mahvari ke khoon ko jazb karta hai ."
is it painful to use tampons,"Tampons can be a little uncomfortable for new users, however they should never be painful. If you feel pain when using a tampon, avoid using them and consult a doctor.",kya tampon istemaal karna takleef da hai ?,"naye sarfeen ke liye tampon qadray takleef da ho sakte hain, taham inhen kabhi takleef da nahi hona chahiye. agar aap tampon istemaal karte waqt dard mehsoos karte hain, to un ke istemaal se guraiz karen aur doctor se mahswara karen ."
can i take bath??,You can shower from the first day till the last. Having a shower does not effect your period in any way.,kya mein ghusal kar sakti hon ?,aap pehlay din se aakhri din tak naha sakte hain. nahanay se aap ki mahvari par kisi bhi terhan se assar nahi parta hai .
can i take any medicine for periods cramp,"Before taking any medication, be sure to consult your doctor so that they may guide you properly. Hormonal medications are sometimes prescribed to treat the symptoms of period pain.",kya mein mahvari ke dard ke liye koi dawa le sakti hon ?,koi bhi dawa lainay se pehlay –apne doctor se zaroor mahswara karen taakay woh aap ki sahih rahnumai kar saken. hormonal adwiyaat baaz auqaat mahvari ke dard ki alamaat ke ilaaj ke liye tajweez ki jati hain .
can i take ice cream during periods?,Yes you can!,kya mein mahvari ke douran ice kareem kha sakti hon ?,haan tum kha sakte ho !
I feel anxious,Why do you feel that way?,mujhe be cheeni mehsoos hoti hai .,aap ko aisa kyun lagta hai ?
What should I do when I get my period?,You should wash your hands with soap and water and place a sanitary pad in your underwear. Replace the used pad with a new pad every four to eight hours.,jab mujhe mahvari aati hai to mujhe kya karna chahiye ?,aap –apne haath sabun aur pani se dhowen aur –apne zair jama mein sanitary pad rakhen. istemaal shuda pad ko har chaar se aath ghantay baad naye pad se tabdeel karen .
Thank you Mai,Anytime! Feel free to message me again whenever you have a question.,shukriya Mai,kisi bhi waqt! jab bhi aap ko koi sawal ho to bilaa jhijhak mujhe dobarah msg karen .
Hi Mai,Hello! How are you feeling today?,hello Mai,hello! aaj aap kaisa mehsoos kar rahay hain ?
What is a period?,"A period is the part of the menstrual cycle when a woman bleeds from her vagina for a few days. For most women this happens every 28 days. but it's common for periods to be more or less frequent than this, ranging from day 21 to day 40 of their menstrual cycle.",mahvari kya hai ?,mahvari woh hissa hota hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ke 21 win din se le kar 40 win din tak is se ziyada ya kam baar baar hona aik aam baat hai .
Can I ask you more questions about periods?,Yes! Feel free to ask me your questions.,kya mein aap se mahvari ke baray mein mazeed sawalaat pooch sakti hon ?,jee haan! bilaa jhijhak mujh se –apne sawalaat poucheen .
I do not understand periods. What is a period?,"A period is the part of the menstrual cycle when a woman bleeds from her vagina for a few days. For most women this happens every 28 days. but it's common for periods to be more or less frequent than this, ranging from day 21 to day 40 of their menstrual cycle.",mujhe period ki samajh nahi aati. mahvari kya hai ?,mahvari woh hissa hota hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ke 21 win din se le kar 40 win din tak is se ziyada ya kam baar baar hona aik aam baat hai .
my name?,"My name is Mai. I am a farmer but I also help young women with menstruation related problems. I have knowledge about the menstrual cycle, how to manage it properly, how medicines to manage hygiene, as well as knowledge about menstrual products. Feel free to ask me questions about any of these topics.",mera naam ?,"mera naam Mai hai. mein aik kisaan hon lekin mein haiz se mutaliq masail se dochar nojawan khawateen ki bhi madad karti hon. mujhe mahvari ke baray mein ilm hai, is ka sahih tareeqay se intizam kaisay kya jaye, duwaein kis terhan hifzaan sehat ka intizam karen, neez mahvari ki masnoaat ke baray mein bhi maloomat hain. un mein se kisi bhi unwan ke baray mein mujh se bilaa jhijhak sawalaat poucheen ."
please,"Hello, how are you doing today?",baraye meharbani/please,kya haal hai? aajkal kya ho raha hai ?
hi,Hello! How can I help you today?,hello,hello! aaj mein aap ki madad kaisay kar sakta hon ?
I feel anxious,Why do you feel that way?,mujhe be cheeni mehsoos hoti hai .,aap ko aisa kyun lagta hai ?
I do not understand periods. What is a period?,"A period is the part of the menstrual cycle when a woman bleeds from her vagina for a few days. For most women this happens every 28 days. but it's common for periods to be more or less frequent than this, ranging from day 21 to day 40 of their menstrual cycle.",mujhe mahvari ki samajh nahi aati. mahvari kya hai ?,mahvari woh hissa hota hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ke 21 win din se le kar 40 win din tak is se ziyada ya kam baar baar hona aik aam baat hai .
what should I do when I get a period?,You should wash your hands with soap and water and place a sanitary pad in your underwear. Replace the used pad with a new pad every four to eight hours.,jab mujhe mahvari aati hai to mujhe kya karna chahiye ?,aap –apne haath sabun aur pani se dhowen aur –apne zair jama mein sanitary pad rakhen. istemaal shuda pad ko har chaar se aath ghantay baad naye pad se tabdeel karen .
what other products can I use?,"You can use a menstrual pad, period sponge, tampon, or a period panty at night to absorb your period.",mein kon si doosri masnoaat istemaal kar sakta hon ?,"aap mahvari ka pad, period sponge, tampon, ya raat ke waqt period panty istemaal kar sakte hain taakay aap ki mahvari ko jazb kya ja sakay ."
Can I use a cloth instead of a pad?,"Cloth pads can be safe to use as long as they are used hygienically. Cloth pads must be washed properly, dried under sunlight, and stored in dry and sterile places. Remember, when menstrual and personal hygiene is not practised, it can lead to infection. So be careful.",kya mein pad ke bajaye kapra istemaal kar sakta hon ?,"kapray ke pad is waqt tak istemaal mein mehfooz reh sakte hain jab tak ke woh hifzaan sehat ke mutabiq istemaal hon. kapray ke pads ko achi terhan se dhona chahiye, Sooraj ki roshni mein khushk karna chahiye, aur khushk aur jaraseem se pak jaghon par rakhna chahiye. yaad rakhen, jab mahvari aur zaati hifzaan sehat par amal nahi kya jata hai, to yeh infection ka baais ban sakta hai. lehaza ahthyat karo ."
Can I ask you more questions about periods?,Yes! Feel free to ask me your questions.,kya mein aap se mahvari ke baray mein mazeed sawalaat pooch sakta hon ?,jee haan! bilaa jhijhak mujh se –apne sawalaat poucheen .
why do I get cramps?,"A common cause of cramps is Premenstrual Syndrome or PMS for short. PMS occurs right before a women gets her period. These symptoms are caused by the hormonal changes of the cycle. PMS has the following symptoms inlcuding irritation, mood swings, bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts.",mujhe dard kyun aata hai ?,"dard ki aik aam wajah premenstrual syndrome ya pms mukhtsiran hai. PMS aurat ki mahvari se pehlay hi hota hai. yeh alamaat cycle ki hormonal tabdeelion ki wajah se hoti hain. PMS mein darj zail alamaat hain jin mein chirchira pan, mood mein tabdeeli, aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain ."
What should I do when I get cramps?,You should wash your hands with soap and water and place a sanitary pad in your underwear. Replace the used pad with a new pad every four to eight hours.,jab mujhe dard ho to mujhe kya karna chahiye ?,aap –apne haath sabun aur pani se dhowen aur –apne zair jama mein sanitary pad rakhen. istemaal shuda pad ko har chaar se aath ghantay baad naye pad se tabdeel karen .
Thank you Mai,Anytime! Feel free to message me again whenever you have a question.,shukriya Mai,kisi bhi waqt! jab bhi aap ko koi sawal ho to bilaa jhijhak mujhe dobarah msg karen .
what products can I use when I get a period?,"You can use a menstrual pad, period sponge, tampon, or a period panty at night to absorb your period.",jab mujhe mahvari aati hai to mein kon si masnoaat istemaal karsaktha hon ?,"aap mahvari ka pad, period sponge, tampon, ya raat ke waqt period panty istemaal kar sakte hain taakay aap ki mahvari ko jazb kya ja sakay ."
Hi Mai,Hello! How are you feeling today?,hello Mai,hello! aaj aap kaisa mehsoos kar rahay hain ?
hi,Hello! How are you feeling today?,hello,hello! aaj aap kaisa mehsoos kar rahay hain ?
hi,Hello! How are you feeling today?,hello,hello! aaj aap kaisa mehsoos kar rahay hain ?
what are the disadvantage of using cloth during periods,"Cloth pads can be safe to use as long as they are used hygienically. Cloth pads must be washed properly, dried under sunlight, and stored in dry and sterile places. Remember, when menstrual and personal hygiene is not practised, it can lead to infection. So be careful about it.",mahvari ke douran kapra istemaal karne ke kya nuqsanaat hain ?,"kapray ke pad is waqt tak istemaal mein mehfooz reh sakte hain jab tak ke woh hifzaan sehat ke mutabiq istemaal hon. kapray ke pidz ko achi terhan se dhona chahiye, Sooraj ki roshni mein khushk karna chahiye, aur khushk aur jaraseem se pak jaghon par rakhna chahiye. yaad rakhen, jab mahvari aur zaati hifzaan sehat par amal nahi kya jata hai, to yeh infection ka baais ban sakta hai. to is ke baray mein mohtaat rahen ."
