Intent,Response,Intent (Roman Urdu),Response (Roman Urdu),,Index
Can I use a cloth for menstruation,We don’t recommend using kapra but if using a cloth pad hygienically is okay.,Kya mai haiz keliye kapra istimaal karsakti hun,mahvari ke douran mein apni hifzaan sehat ka khayaal kaisay rakh sakti hon .,,
I am getting cramps,Menstrual cramps are throbbing or cramping pains in the lower abdomen. Most women experience cramps just before or during the early days of their period.,Mujhe dard horaha hai,mahvari ke dard pait ke nichle hissay mein dharaktey ya dard ke dard hain. ziyada tar khawateen ko apni mahvari ke ibtidayi dinon se theek pehlay ya is ke douran dard ka saamna karna parta hai .,,
I have cramps,Menstrual cramps are throbbing or cramping pains in the lower abdomen. Most women experience cramps just before or during the early days of their period.,Mujhe dard hai,mahvari ke dard pait ke nichle hissay mein dharaktey ya dard ke dard hain. ziyada tar khawateen ko apni mahvari ke ibtidayi dinon se theek pehlay ya is ke douran dard ka saamna karna parta hai .,,
Hi Mai,Hello! How can I be of service?,Hi Mai,"Hello, mai kis tarah khidmat karsakti hun",,
"Hello Mai, hope you are well","Hello! I am well, thank you. How can I help you today?","Hello Mai, umeed hai aap khairiyat se hongi","Hello, mai theek hun shukriya. Aaj mai aapki madad kaise karsakti hun?",,
Yes,Feel free to ask me any questions about menstruation.,Jee haan,haiz ke baray mein bilaa jhijhak mujh se koi sawal poucheen .,,
No,Very well then. I am here whenever you have a question.,nahi,phir bohat acha. jab bhi aap ko koi sawal ho to mein haazir hon .,,
I got my period,"This is completely normal and every woman gets periods. If you have any questions regarding periods, feel free to ask me.",Mujhe haiz agaya,yeh bilkul normal hai aur har aurat ko mahvari aati hai. agar aap ko mahvari se mutaliq koi sawal hai to bilaa jhijhak mujh se poucheen .,,
Okay,Great! I am here if you have more questions.,Theek hai ,zabardast! agar aap ke mazeed sawalaat hain to mein yahan hon,,
"Okay, thanks","No problem, happy to help! I am here if you have more questions.","Theek hai, shukriya","koi masla nahi, madad karne mein khush hon! agar aap ke mazeed sawalaat hain to mein yahan hon .",,
"Okay, got it",Great! I am here if you have more questions.,"Theek hai, samajh gayi",zabardast! agar aap ke mazeed sawalaat hain to mein yahan hon .,,
My back hurts,You may be experiencing what is known as menstrual cramps. Menstrual cramps are throbbing or cramping pains in the lower abdomen. Most women experience cramps just before or during the early days of their period.,Meri kamar mai dard hai,ho sakta hai aap is ka saamna kar rahay hon jisay mahvari ke dard ke naam se jana jata hai. mahvari ke dard pait ke nichale hissay mein dharaktey ya dard ke dard hain. ziyada tar khawateen ko apni mahvari ke ibtidayi dinon se theek pehlay ya is ke douran dard ka saamna karna parta hai .,,
I dont feel very good,Why do you feel that way?,Mujhe bohat acha nahi lag raha,Aap ko aisa kyun lag raha hai?,,
I missed my period,"If you don't have any known condition affecting your menstrual cycle and have regular periods, your period should start within 21 to 35 days of your last period, depending on your normal cycle. If it has been several days and you still have not gotten your period, there may be a chance that you are pregnant. Take a pregnancy test and consult a doctor.",Mujhe mahwaari nahi aayi,"agar aap ke mahvari ko mutasir karne wali koi maloom haalat nahi hai aur aap ko baqaidagi se mahvari aati hai, to aap ki mahvari aap ke aam cycle ke lehaaz se, aap ki aakhri mahvari ke 21 se 35 dinon ke andar shuru honi chahiye. agar kayi din guzar chuke hain aur aap ko abhi bhi mahvari nahi hui hai, to is baat ka imkaan ho sakta hai ke aap haamla hon. hamal test karwaen aur dr se mahswara karen .",,
Ok,Great! I am here if you have more questions.,Theek hai,zabardast! agar aap ke mazeed sawalaat hain to mein yahan hon .,,
I dont have any questions,"It was nice talking to you, take care!",Mere paas koyi sawaal nahi hai,"aap se baat kar ke acha laga, apna khayaal rakhnein!",,
No questions,"It was nice talking to you, take care!",Koyi sawaal nahi,"aap se baat kar ke acha laga, apna khayaal rakhnein!",,
Bye,"It was nice talking to you, take care!",alwida,"aap se baat kar ke acha laga, apna khayaal rakhnein!",,
what are pads,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating.",pads kya hai,"mahvari ka pad, ya saada pad, aik jaazib shai hai jo aurtain mahvari ke douran –apne zair jame mein pehanti hain .",,
what is a pad,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating.",pad kya hai,"mahvari ka pad, ya saada pad, aik jaazib shai hai jo aurtain mahvari ke douran apne zair jame mein pehanti hain .",,
I dont understand,Try to rephrase your question and I will try my best to answer it.,mujhe samajh nahi arahi,apne sawal ko dobarah bayan karne ki koshish karen aur mein is ka jawab dainay ki poori koshish karoon gi .,,
goodbye,"It was nice talking to you, see you later!",allah hafiz,"aap se baat kar ke acha laga, baad mein mlitay hain !",,
Im confused,Try to rephrase your question and I will try my best to answer it.,Mai uljhan mai hun,apne sawal ko dobarah bayan karne ki koshish karen aur mein is ka jawab dainay ki poori koshish karoon gi .,,
Where do you get your knowledge from?,"I get my knowledge from doctors who have verified that the information I have is correct, as well as authentic websites such as HelloClue and Always which contain verified and factual information.",aap ko ye malomaat kahan se milta hai ?,"mein ne apni maloomat un doctoron se haasil ki hain jinhon ne tasdeeq ki hai ke mere paas jo maloomat hain woh durust hain, neez hello clue aur hamesha jaisi mustand Websites jin mein tasdeeq shuda aur haqeeqat par mabni maloomat mojood hain .",,
How are you doing?,I am doing well. Do you have questions about menstruation for me?,Aap kaise hai,mein acha kar rahi hon. kya aap ke paas mere liye haiz ke baray mein sawalaat hain ?,,
How are you?,I am doing well. Do you have questions about menstruation for me?,Aap kaise ho,mein acha kar rahi hon. kya aap ke paas mere liye haiz ke baray mein sawalaat hain ?,,
Yes,Feel free to ask me.,Jee haan,bilaa jhijhak mujh se poucheen .,,
No,Very well then. I am here whenever you have a question.,nahi,phir bohat acha. jab bhi aap se koi sawal ho to mein haazir hon .,,
I feel bloated,Abdominal bloating occurs when the abdomen feels tight or full. This may cause the area to appear larger. The abdomen may feel hard or tight to the touch. Bloating usually occurs right before or during the early days of a period.,mai phooli huwi mehsoos kar rahi hun.,pait ka phoolna tab hota hai jab pait tang ya bhara sun-hwa mehsoos hota hai. is ki wajah se ilaqa bara dikhayi day sakta hai. pait ko chone mein sakht ya tang mehsoos ho sakta hai.aphaara/bloating aam tor par muddat se pehlay ya ibtidayi dinon mein hota hai,,
What is bloating?,Abdominal bloating occurs when the abdomen feels tight or full. This may cause the area to appear larger. The abdomen may feel hard or tight to the touch. Bloating usually occurs right before or during the early days of a period.,aphaara/bloating kya hai,pait ka phoolna tab hota hai jab pait tang ya bhara sun-hwa mehsoos hota hai. is ki wajah se ilaqa bara dikhayi day sakta hai. pait ko chone mein sakht ya tang mehsoos ho sakta hai.aphaara/bloating aam tor par muddat se pehlay ya ibtidayi dinon mein hota hai,,
I feel irritated,"You may be experiencing pre-menstrual syndrome or PMS. PMS occurs right before a women gets her period. PMS has the following symptoms inlcuding irritation, mood swings, bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, moods swings, and tender breasts",mujhe chirchira pan mehsoos hota hai .,"ho sakta hai aap ko mahvari se pehlay ke syndrome ya pms ka saamna ho. pms aurat ko haiz anay se pehlay hi hota hai. pms mein darj zail alamaat hain jin mein chirchira pan, mood mein tabdeeli,aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
I feel sad,"You may be experiencing pre-menstrual syndrome or PMS. PMS occurs right before a women gets her period. PMS has the following symptoms inlcuding irritation, mood swings, bloating, cramps, constipation, diarrhoea, acne, vaginal discharge, headaches, food cravings, and tender breasts.",mujhe dukh horaha hai,"ho sakta hai aap ko mahvari se pehlay ke syndrome ya pms ka saamna ho. pms aurat ko haiz anay se pehlay hi hota hai. pms mein darj zail alamaat hain jin mein chirchira pan, mood mein tabdeeli,aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
Good morning,Good morning! I am Mai. How can I help you today?,Subah Bakhair,subah bakhair! mein hon mai. aaj mein aap ki madad kaisay kar sakti hon ?,,
Good night,"Good night. It was nice talking to you, see you later!",shab bakhair,"shab bakhair. aap se baat kar ke acha laga, baad mein mlitay hain !",,
Hey Mai,Hello! How can I help you today?,Hey Mai,"Hello, aaj mai aapki madad kaise karsakti hun",,
Hey,Hello! How can I help you today?,hey ,"Hello, aaj mai aapki madad kaise karsakti hun",,
Mai,Hello! I am Mai. How can I help you today?,Mai,hello! mein hon mai. aaj mein aap ki madad kaisay kar sakti hon ?,,
,,Mujhe samajh nahi araha mere saath kya horaha hai,Kya aap bata sakti hai ke aapko kya horaha hai?,,
,,Mera khoon nikal raha hai ,Kahaan se khoon beh raha hai?,,
,,mere private part se khoon nikal raha hai ,yeh mahvari ki wajah hai jisay period bhi kaha jata hai jo ke mukammal tor par normal hai aur har aurat ko tajurbah hota hai. darnay ki koi baat nahi hai. agar aap ko mahvari se mutaliq koi sawal hai to bulaa jhijhak mujh se poucheen .,,
,,mere jism ke neeche hisse se khoon nikal raha hai,yeh mahvari ki wajah hai jisay period bhi kaha jata hai jo ke mukammal tor par normal hai aur har aurat ko tajurbah hota hai. darnay ki koi baat nahi hai. agar aap ko mahvari se mutaliq koi sawal hai to bulaa jhijhak mujh se poucheen .,,
,,mahwaari kya hai?,"haiz, jisay period bhi kaha jata hai, mahvari ka hissa hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ka is se ziyada ya kam kasrat se hona aik aam baat hai. Un ke mahvari 21 din se le kar 40 din tak hosakta hai",,
,,period kya hai?,"haiz, jisay period bhi kaha jata hai, mahvari ka hissa hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ka is se ziyada ya kam kasrat se hona aik aam baat hai. Un ke mahvari 21 din se le kar 40 din tak hosakta hai",,
,,periods kya hai?,"haiz, jisay period bhi kaha jata hai, mahvari ka hissa hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ka is se ziyada ya kam kasrat se hona aik aam baat hai. Un ke mahvari 21 din se le kar 40 din tak hosakta hai",,
,,ye haiz kya hota hai,"haiz, jisay period bhi kaha jata hai, mahvari ka hissa hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ka is se ziyada ya kam kasrat se hona aik aam baat hai. Un ke mahvari 21 din se le kar 40 din tak hosakta hai",,
,,mujhe haiz ke baare mai batayen,"haiz, jisay period bhi kaha jata hai, mahvari ka hissa hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ka is se ziyada ya kam kasrat se hona aik aam baat hai. Un ke mahvari 21 din se le kar 40 din tak hosakta hai",,
,,mujhe aapse poochna tha ye mahwaari kya hota hai,"haiz, jisay period bhi kaha jata hai, mahvari ka hissa hai jab aurat ki andaam nihani/vagina se kuch dinon tak khoon aata hai. ziyada tar khawateen ke liye yeh har 28 din mein hota hai. lekin mahvari ka is se ziyada ya kam kasrat se hona aik aam baat hai. Un ke mahvari 21 din se le kar 40 din tak hosakta hai",,
,,lekin aisa kyun hota hai ,mahvari jism mein hormones mein tabdeeli ki wajah se hoti hai. hormones keemiyai messenger hain. beza daani zanana hormone estrogen aur progesterone kharij karti hai. yeh hormones bacha daani ( ya reham ) ki parat ko bananay ka sabab bantay hain. blt up Aster fertilised anday ke sath jornay aur nashonuma shuru karne ke liye tayyar hai. agar koi khad shuda anda nah ho to Aster toot jati hai aur khoon behnay lagta hai. phir wohi amal baar baar hota hai .,,
,,mujhe ye kyun hota hai,mahvari jism mein hormones mein tabdeeli ki wajah se hoti hai. hormones keemiyai messenger hain. beza daani zanana hormone estrogen aur progesterone kharij karti hai. yeh hormones bacha daani ( ya reham ) ki parat ko bananay ka sabab bantay hain. blt up Aster fertilised anday ke sath jornay aur nashonuma shuru karne ke liye tayyar hai. agar koi khad shuda anda nah ho to Aster toot jati hai aur khoon behnay lagta hai. phir wohi amal baar baar hota hai .,,
,,kya mujhe ispe sharam aani chahiye?,mein samjhti hon ke aap kaisa mehsoos kar rahay hain. mahvari har aurat ke liye mamool ki baat hai. is mein sharminda honay ki koi baat nahi hai. mein aap ke cycle ke baray mein aap ke kisi bhi sawal mein aap ki madad karne ke liye haazir hon .,,
,,aur ye mujhe ganda lagta hai,aap ko apni mahvari ke douran ganda mehsoos karne ki zaroorat nahi hai. haiz qudrati hai .,,
,,mujhe ye bohat ganda lagta hai,aap ko apni mahvari ke douran ganda mehsoos karne ki zaroorat nahi hai. haiz qudrati hai .,,
,,ye itna ganda kyun hota hai ,aap ko apni mahvari ke douran ganda mehsoos karne ki zaroorat nahi hai. haiz qudrati hai .,,
,,mai kisi ko iske baare mai bata nahi paati mujhe sharam aati hai,mein samjhti hon ke aap kaisa mehsoos kar rahay hain. mahvari har aurat ke liye mamool ki baat hai. is mein sharminda honay ki koi baat nahi hai. mein aap ke cycle ke baray mein aap ke kisi bhi sawal mein aap ki madad karne ke liye haazir hon .,,
,,kya mai aapse mahvari ke hawale se sawaal pooch sakti hun,haan tum kar satke ho! barah karam mahvari se mutaliq koi sawal ya masla jo aap ko darpaish ho usay share karen .,,
,,kya aap mere sawaalaat ke jawaabaat dogi?,haan tum kar satke ho! barah karam mahvari se mutaliq koi sawal ya masla jo aap ko darpaish ho usay share karen .,,
,,mai aik sawaal poochun?,haan tum kar satke ho! barah karam mahvari se mutaliq koi sawal ya masla jo aap ko darpaish ho usay share karen .,,
,,mujhe mahwaari ke qareeb kamar mai dard shuru hojata hai,kamar dard mahvari ki aik aam alamat hai .,,
,,kya aam tor paar aurton ko mahvari ke qareeb kamar mai dard hota hai?,kamar mein halka dard mamool ki baat hai aur yeh mahvari ki alamat hai .,,
,,mahvaari ke alaamat kya hai,"mahvari se pehlay ya is ke douran aap ko mandarja zail alamaat ho sakti hain jin mein aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
,,mujhe kaise pata chalega meri mahvari aane waali hai,"mahvari se pehlay ya is ke douran aap ko mandarja zail alamaat ho sakti hain jin mein aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
,,kya mujhe pata chal sakta hai mere periods qareeb hai?,"mahvari se pehlay ya is ke douran aap ko mandarja zail alamaat ho sakti hain jin mein aphaara/bloating, dard, qabz, ishaal, mahasay, andaam nihani/vagina se kharij honay wala madah, sir dard, khanay ki khwahish, mood mein tabdeeli, aur naram chhaati shaamil hain .",,
,,kya mai haiz pe roz marra ke khaane kha sakti hun,Haan aap karsakte ho,,
,,imli kha sakti hun?,khoraak ka aap ke bahao se koi talluq nahi hai !,,
,,dahi kha sakti hun?,khoraak ka aap ke bahao se koi talluq nahi hai !,,
,,thanda pi sakti hun?,khoraak ka aap ke bahao se koi talluq nahi hai !,,
,,khatta kha sakti hun?,khoraak ka aap ke bahao se koi talluq nahi hai !,,
,,kuch bhi kha sakti hun?,khoraak ka aap ke bahao se koi talluq nahi hai !,,
,,lekin mujhe kyun mahwari hoti hai,jism mein hormones mein tabdeeli ki wajah se mahvari hoti hai. hormones keemiyai messenger hain. beza daani zanana hormone estrogen aur progesterone kharij karti hai. yeh hormones bacha daani ( ya reham ) ki parat ko bananay ka sabab bantay hain. blt up lining fertilizer anday ke sath munsalik honay aur nashonuma shuru karne ke liye tayyar hai. agar koi khad shuda anda nah ho to Aster toot jati hai aur khoon behnay lagta hai. phir wohi amal baar baar hota hai .,,
,,kya sab larkiyo ko period aate hai?,jism mein hormones mein tabdeeli ki wajah se mahvari hoti hai. hormones keemiyai messenger hain. beza daani zanana hormone estrogen aur progesterone kharij karti hai. yeh hormones bacha daani ( ya reham ) ki parat ko bananay ka sabab bantay hain. blt up lining fertilizer anday ke sath munsalik honay aur nashonuma shuru karne ke liye tayyar hai. agar koi khad shuda anda nah ho to Aster toot jati hai aur khoon behnay lagta hai. phir wohi amal baar baar hota hai .,,
,,Chale theek hai bohat shukriya aapka,"Koyi baat nahi, aapke sawaalaat ke jawaabaat dene keliye mai hamesha haazir hun",,
,,Bye,"Apna khayal rakhein, bye",,
