Intent,Response,Relevance,Intent (Roman Urdu),Response (Roman Urdu),,Index
Where can I get these sanitary or menstural pads?,You can buy them at the nearest store or order them online through DARAZ. Here is a link for it: https://www.daraz.pk/catalog/?q=pads&_keyori=ss&from=input&spm=a2a0e.searchlist.search.go.8c6029b8wWUnZl,1,Mai ye sanitary ya mahwaari ke pads kahaan se haasil karsakti hun,Aap unhe qareebi store ya daraz ke zariye online order karsakte hai. Uska link ye hai https://www.daraz.pk/catalog/?q=pads&_keyori=ss&from=input&spm=a2a0e.searchlist.search.go.8c6029b8wWUnZl,,
I feel ashamed of buying them,"You should not be ashamed about it as menstruation is a completely natural process and it is important maintain them properly, that includes using the right products.  ",1,Mai unhe khareedte huwe sharam mehsoos karti hun,"aap ko is ke baray mein sharminda nahi hona chahiye kyunkay haiz aik mukammal tor par qudrati amal hai aur un ko sahih tareeqay se barqarar rakhna zaroori hai, jis mein sahih masnoaat ka istemaal bhi shaamil hai .",,
What are some other good sanitary products?,"Most girls don’t know that there are various different types of sanitary products available for them. These include Period Sponges, Tampons, Menstrual Cup, Sanitary Napkin, Period Panties, Panty Liners. In Pakistan, pads are the most popular and easily available.",1,mazeed sanitary masnooaat kya hai,"ziyada tar larkiyan yeh nahi janteen ke un ke liye mukhtalif qisam ki sanitary masnoaat dastyab hain. un mein Period Sponges, Tampons, Menstrual Cup, Sanitary Napkin, Period Panties, Panty Liners shaamil hain. Pakistan mein pad sab se ziyada maqbool aur aasani se dastyab hain .",,
What are period sponges?,"A menstrual sponge or period sponge is a type of sponge that is reusable. Wet the sponge with warm water to soften it, squeeze to remove excess water and carefully insert into your vagina. It will absorb and retain the blood inside of your vagina.",1,period sponges kya hai,"mahvari ka sponge ya period sponge aik qisam ka sponge hai jo dobarah qabil e istemaal hai. sponge ko naram karne ke liye usay garam pani se geela karen, izafi pani ko nikaalte ke liye nichorain aur ahthyat se apni andaam nihani/vagina mein daakhil karen. yeh aap ki andaam nihani/vagina ke andar khoon ko jazb aur barqarar rakhay ga .",,
What are tampons?,"A tampon is a menstrual product designed to absorb blood and vaginal secretions by insertion into the vagina during menstruation. Unlike a pad, it is placed internally inside of the vaginal canal. Once inserted correctly, a tampon is held in place by the vagina and expands as it soaks up menstrual blood.",1,tampons kya hai,"tampon aik mahvari ki masnoaat hai jo haiz ke douran andaam nihani/vagina mein daakhil karkay khoon aur andaam nihani/vagina ki secretion ko jazb karne ke liye design ki gayi hai. pad ke bar aks, yeh androoni tor par andaam nihani/vagina ki naali ke andar rakha jata hai. aik baar sahih tareeqay se daakhil karne ke baad, andaam nihani/vagina ke zareya aik tampon ko jagah par rakha jata hai aur yeh mahvari ke khoon ko jazb karne ke sath phialta hai .",,
What are menstrual cups?,A menstrual cup is a menstrual hygiene device which is inserted into the vagina during menstruation. Its purpose is to collect menstrual fluid. Menstrual cups are usually made of flexible silicone.,1,menstrual cups kya hote hai,mahvari ka cup mahvari se mutaliq hifzaan sehat ka aala hai jo haiz ke douran andaam nihani/vagina mein daakhil kya jata hai. is ka maqsad mahvari ke seyal ko jama karna hai. mahvari ke cupp aam tor par lachak dar slikon se banay hotay hain,,
What are sanitary napkins?,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating.",1,sanitary napkins kya hote hai,"mahvari ka pad, ya seedha pad, aik jaazib shai hai jo aurtain mahvari ke douran apne zair jama pehanti hain",,
What are menstrual pads?,"A menstrual pad, or simply pad, is an absorbent item worn by women in their underwear when menstruating.",1,menstrual pads kya hote hai ,"mahvari ka pad, ya seedha pad, aik jaazib shai hai jo aurtain mahvari ke douran apne zair jama pehanti hain",,
What are period panties?,Period underwear are absorbent clothing designed to be worn during menstruation.,1,Period panties kya hai,period underwear jaazib libaas hain jo haiz ke douran pahannay ke liye design kiye gaye hain .,,
What are panty liners?,A pantyliner is an absorbent piece of material used for feminine hygiene. It is worn inside the underwear. Some uses include absorbtion of vaginal discharge and light menstrual flow.,,Panty Liners kya hai ,panty liner aik jaazib mawaad hai jo nisaye hifzaan sehat ke liye istemaal hota hai. yeh zair jama ke andar pehna jata hai. kuch istemaal mein andaam nihani/vagina se kharij honay walay madah ko jazb karna aur mahvari ka halka bahao shaamil hai .,,
Can I use these products at night for my period?,"You can use a menstrual pad, period sponge, tampon, or a period panty at night to absorb your period.",1,kya mai ye products apni mahwaari keliye raat ko istemaal karsakti hun,"aap mahvari ka pad, period sponge, tampon, ya raat ke waqt period panty istemaal kar satke hain taakay aap ki mahvari ko jazb kya ja sakay .",,
Do I need to change my pad?,"In order to take care of your hygiene, It is important to change your pad every four to eight hours.",1,kya mujhe apna pad tabdeel karne ki zaroorat hai ?,"apni hifzaan sehat ka khayaal rakhnay ke liye, har chaar se aath ghantay baad apna pad tabdeel karna zaroori hai .",,
What other ways can I take care of my hygiene during my period?,You should regularly wash your labial area with clean water. You should also dispose of your used period products hygienically.,1,mein apni mahvari ke douran apni hifzaan sehat ka khayaal rakhnay ke aur kon se tareeqay kar sakta hon ?,aap ko baqaidagi se –apne labial area ko saaf pani se dhona chahiye. aap ko apni istemaal shuda muddat ki masnoaat ko bhi hifzaan sehat ke sath zaya karna chahiye .,,
Is it normal to get cramps during my period?,Some girls and women get cramps or other symptoms during their periods that may be uncomfortable. This is typically due to the hormones your body releases during menstruation that cause the uterus to contract so it can shed it’s lining.,1,kya mahvari ke douran dard hona mamool hai ?,kuch larkiyon aur khawateen ko un ki mahvari ke douran dard ya deegar alamaat hoti hain jo takleef da hosakti hain. yeh aam tor par haiz ke douran aap ke jism se kharij honay walay harmons ki wajah se hota hai jis ki wajah se bacha daani/uterus suker jati hai taakay yeh is ke Aster ko baha sakay .,,
How can I manage them?,"To reduce period cramps and pain you can try the following things: placing a heating pad on your belly or lower back, or having a hot bath. Cramps are a pretty standard part of having your period. But if your period pain is so painful that you can’t take part in everyday life, please consult your doctor.",1,mai iska intezaam kaise karsakti hun,"mahvari ke dard aur dard ko kam karne ke liye aap darj zail cheeze aazma satke hain : –apne pait ya kamar ke nichale hissay par hating pad rakhna, ya garam ghusal karna. dard aap ki mahvari ka aik khobsorat mayaari hissa hai. lekin agar aap ki mahvari ka dard itna takleef da hai ke aap roz marrah ki zindagi mein hissa nahi le satke to barah karam apne doctor se rujoo karen .",,
I think my period cramps are very painful,"Painful period cramps could be caused by heavy menstrual bleeding or by endometriosis. In endometriosis, the cells or tissue lining the uterus, grow outside the uterus. You should see your doctor who can do a blood test and get your history to help you get better.",1,mujhe lagta hai ke meri mahwaari ke dard bohat takleef deh hai ,"dard naak mahvari ke dard bohat ziyada mahvari khoon behnay ya endometriosis ki wajah se ho saktay hain. endometriosis mein, bacha daani/uterus ke Aster walay khaliyaat ya tissue, bacha daani/uterus ke bahar barhatay hain. aap ko –apne dr se milna chahiye jo khoon ki jaanch kar sakta hai aur aap ki history haasil kar sakta hai taakay aap ko behtar honay mein madad miley .",,
What colour is a normal period?,Healthy period blood typically varies from bright red to dark brown or black. Blood or discharge that is orange or grey may indicate an infection.,1,Aik aam mahwaari ka rang kya hota hai,sehat mand mahvari ka khoon aam tor par roshan surkh se gehray bhooray ya siyah tak mukhtalif hota hai. khoon ya kharij honay wala madah jo naranji ya surmai rang ka ho kisi infection ki nishandahi kar sakta hai .,,
My periods are a weird color. What should I do,Period color ranges from bright red to dark brown and black. The color of period blood depends on how long the blood stays in the uterus and vagina. ,1,Mere mahwaari ka rang ajeeb hai. Mai kya karun,mahvari ka rang roshan surkh se gehra bhoora aur siyah hota hai. douran khoon ka rang is baat par munhasir hota hai ke khoon kitni der tak bacha daani/uterus aur andaam nihani/vagina mein rehta hai .,,
My period color is not bright red,What color is your period flow?,1,Mere mahwaari ka rang roshan surkh nahi hai ,Aap ki mahwaari ka rang kya hai ,,
Dark red,"This color suggests a slower flow. For most people, the blood gets darker over the course of the cycle. This is because older blood from the deeper parts of the uterine lining is shed later. Brown blood is also common in the weeks after you give birth. However, in some cases dark red or brown blood may be an early sign of pregnancy and black blood may be a sign of a vaginal blockage. If these colors are unexpected or abnormal for you, talk to your healthcare provider.",1,gehra surkh,"yeh rang sust bahao ki tajweez karta hai. ziyada tar logon ke liye, cycle ke douran khoon gehra ho jata hai. is ki wajah yeh hai ke bacha daani/uterus ke Aster ke gehray hisson se purana khoon baad mein bahaya jata hai. aap ki paidaiesh ke baad ke hafton mein bhoora khoon bhi aam hai. taham, baaz sooraton mein gehra surkh ya bhoora khoon hamal ki ibtidayi alamat ho sakta hai aur siyah khoon andaam nihani/vagina ki rukawat ki alamat ho sakta hai. agar yeh rang aap ke liye ghair mutawaqqa ya ghair mamooli hain to apne health care faraham kanandah se baat karen .",,
Sometimes it is even black,"This color suggests a slower flow. For most people, the blood gets darker over the course of the cycle. This is because older blood from the deeper parts of the uterine lining is shed later. Brown blood is also common in the weeks after you give birth. However, in some cases dark red or brown blood may be an early sign of pregnancy and black blood may be a sign of a vaginal blockage. If these colors are unexpected or abnormal for you, talk to your healthcare provider.",1,kabhi kabhi ye kaala bhi hota hai ,"yeh rang sust bahao ki tajweez karta hai. ziyada tar logon ke liye, cycle ke douran khoon gehra ho jata hai. is ki wajah yeh hai ke bacha daani/uterus ke Aster ke gehray hisson se purana khoon baad mein bahaya jata hai. aap ki paidaiesh ke baad ke hafton mein bhoora khoon bhi aam hai. taham, baaz sooraton mein gehra surkh ya bhoora khoon hamal ki ibtidayi alamat ho sakta hai aur siyah khoon andaam nihani/vagina ki rukawat ki alamat ho sakta hai. agar yeh rang aap ke liye ghair mutawaqqa ya ghair mamooli hain to apne health care faraham kanandah se baat karen .",,
I also wanted to ask what is hormonal imbalance?,"A hormonal imbalance means that women or girls have too much or too little of a certain hormone (like estrogen and progesterone). Estrogen, progesterone, testosterone, thyroxin, insulin and cortisol levels can be detected in the blood through blood tests. Please talk to your doctor for individual medical advice.",0.5,mai ye poochna chahti hun ke hormonal adam tawaazun (hormonal imbalance) kya hai,"hormonal adam tawazun/imbalance ka matlab hai ke khawateen ya larkiyon mein kisi khaas hormone ki miqdaar bohat ziyada ya bohat kam hoti hai ( jaisay estrogen aur progesterone ). khoon ke test ke zariye khoon mein estrogen, progesterone, tistostiron, thyroxin, insoline aur cortisol ki satah ka pata lagaya ja sakta hai. barah karam infiradi tibbi mashwaray ke liye –apne dr se baat karen .",,
How do I know if I have this?,"There are various symptoms of an hormonal imbalance including heavy or irregular periods, thinning hair or hair loss, weight gain or trouble losing weight, night sweats and many more.",0.5,mujhe kaise pata chalega ke ye mujhe hai ,"hormonal adam tawazun/imbalance ki mukhtalif alamaat hain jin mein bhaari ya be qaida mahvari, balon ka patla hona ya girna, wazan barhna ya wazan kam hona, raat ko paseena aana aur bohat kuch .",,
How is it different from irregular periods?,"There are various symptoms of an hormonal imbalance including heavy or irregular periods, thinning hair or hair loss, weight gain or trouble losing weight, night sweats and many more.",0.5,ye be qaida (irregular) mahwaari se kaise mukhtalif hai,"hormonal adam tawazun/imbalance ki mukhtalif alamaat hain jin mein bhaari ya be qaida mahvari, balon ka patla hona ya girna, wazan barhna ya wazan kam hona, raat ko paseena aana aur bohat kuch .",,
When do periods start?,"Periods usually begin around the age of 12, although some girls will start them earlier or later than that. A delay in starting periods isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18",1,mahwaari kab shuru hoti hai,"mahvari aam tor par 12 saal ki umar mein shuru hoti hai, halaank kuch larkiyan is se pehlay ya baad mein shuru karen gi. adwaar shuru honay mein takheer aam tor par tashweesh ka baais nahi hoti. ziyada tar larkiyon ko 16 se 18 saal ki umar mein baqaidagi se mahvari anay lagti hai .",,
Is it normal for them to start earlier than that?,Some girls will start them earlier. Starting periods early isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18.,1,kya unke liye isse pehle shuru hona maamool hai,kuch larkiyan inhen pehlay shuru karen gi. mahvari ka jald shuru hona aam tor par tashweesh ka baais nahi hota hai. ziyada tar larkiyon ko 16 se 18 saal ki umar mein baqaidagi se mahvari anay lagti hai .,,
Is it normal for them to start later than that?,Some girls will start them later. A delay in starting periods isn't usually a cause for concern. Most girls will be having regular periods by age 16 to 18,1,kya unke liye iske baad shuru hona maamool hai ,kuch larkiyan inhen baad mein shuru karen gi. adwaar shuru honay mein takheer aam tor par tashweesh ka baais nahi hoti. ziyada tar larkiyon ko 16 se 18 saal ki umar mein baqaidagi se mahvari anay lagti hai .,,
Will I be able to get pregnant during it?,"It is very unlikely to get pregnant during your period, however it is still possible.",1,kya mein is ke douran haamla ho sakti hun ?,"aap ki mahvari ke douran haamla honay ka imkaan bohat kam hai, taham yeh ab bhi mumkin hai .",,
Can muslims have sex during periods?,"No. Just like muslims cannot pray, fast or touch the Holy Book, the religion of Islam does not permit this.",1,kya musalmaan mahwaari ke doraan hambistri karsakte hai,"nahi, jis terhan musalman namaz, roza ya muqaddas kitaab ko haath nahi laga satke, deen islam is ki ijazat nahi deta .",,
What are the small clots in my period?,"It's perfectly normal to notice some clumps from time to time during your period. These are blood clots that may contain tissue. As the uterus sheds its lining, this tissue leaves the body as a natural part of the menstrual cycle. So clots of tissue are usually nothing to be concerned about.",1,mere mahvari mein chhootey jamnay kya hain ?,"aap ki mahvari ke douran waqtan foqatan kuch jhuriyan nazar aana bilkul mamool ki baat hai. yeh khoon ke jamnay hain jin mein tissue shaamil ho satke hain. jaisa ke bacha daani/uterus apni Aster ko bahati hai, yeh tissue mahvari ke qudrati hissay ke tor par jism se nikal jata hai. lehaza tissue ke jamnay aam tor par fikar mand honay ki koi cheez nahi hai .",,
"Sometimes when I’m between periods, 
I get white stuff in my underwear. Is that normal?","Yes, it’s absolutely normal to experience a white discharge. It varies throughout your cycle. It is common to have it at the beginning and the end of your cycle. As you approach ovulation (the release of the egg) you may notice mucous down there (it kind of looks like egg white). Your body tends to produce the greatest amount of this type of vaginal discharge on the day of ovulation so you may want to wear a panty liner at this time.",1,"kabhi kabhi jab mai mahwaari mai hoti hun, mujhe apne zair e jaama mai safeed cheezain milti hai. Kya ye normal hai","jee haan, safaid madah ka tajurbah karna bilkul aam baat hai. yeh aap ke poooray daur mein mukhtalif hota hai. aap ke cycle ke shuru aur aakhir mein is ka hona aam hai. jaisay hi aap beza daani ( anday ka ikhraj ) ke qareeb pahunchte hain aap ko wahan balgham nazar aata hai ( yeh anday ki safedi ki terhan lagta hai ). aap ka jism beza daani ke din is qisam ke andaam nihani/vagina se kharij honay walay madah ki sab se ziyada miqdaar peda karta hai lehaza aap is waqt panty liners pehnana chahain ge .",,
Why is there white discharge before my period?,The white discharge you may see before your period is known as leukorrhea. It's filled with fluid and cells that are being shed from the vagina. It's when the hormone progesterone peaks in your body.,1,mahwaari se pehle safaid maada kyun hota hai,safaid madah jo aap ko mahvari se pehlay nazar aata hai usay leucorrhoea kaha jata hai. yeh seyal aur khaliyaat se bhara sun-hwa hai jo andaam nihani/vagina se bahaya ja raha hai. yeh is waqt hota hai jab aap ke jism mein hormone پروجیسٹرون urooj par hota hai .,,
What about the small clots in my period?,"It's perfectly normal to notice some clumps from time to time during your period. These are blood clots that may contain tissue. As the uterus sheds its lining, this tissue leaves the body as a natural part of the menstrual cycle. So clots of tissue are usually nothing to be concerned about.",1,meri muddat mein chhootey jamnay ka kya hoga ?,"aap ki mahvari ke douran waqtan foqatan kuch jhuriyan nazar aana bilkul mamool ki baat hai. yeh khoon ke jamnay hain jin mein tissue shaamil ho satke hain. jaisa ke bacha daani/uterus apni Aster ko bahati hai, yeh tissue mahvari ke qudrati hissay ke tor par jism se nikal jata hai. lehaza tissue ke jamnay aam tor par fikar mand honay ki koi cheez nahi hai .",,
What is premenstrual syndrome?,"Most common premenstrual symptoms are depressive mood, angry outbursts, irritability, anxiety, confusion, social withdrawal, breast tenderness, abdominal bloating, headache, and swelling of extremities. Medical researchers are still working on identifying the exact cause of these symptoms, but it is certain that they are linked to the hormonal fluctuations during the menstrual cycle. Please talk to your doctor if you are heavily suffering from these symptoms.",1,premenstrual syndrome kia hai?,"mahvari se pehlay ki sab se ziyada aam alamaat afsurdah mizaaj, ghusse mein phootna, chirchira pan, iztiraab, uljan, samaji dast bardari, chhaati mein narmi, pait ka phoolna, sir dard, aur aaza ki soojan hain. tibbi mohqiqeen ab bhi un alamaat ki sahih wajah ki nishandahi par kaam kar rahay hain, lekin yeh yakeeni hai ke un ka talluq mahvari ke douran harmons ke utaar charhao se hai. agar aap un alamaat mein bohat ziyada mubtala hain to barah karam apne dr se baat karen .",No contraceptives please!,
How can I manage its symptoms?,"You may want to exercise, skip salty foods, and cut back on caffeine the week before your period. If your mood is still tricky, talk to your doctor. They may suggest you take medication.",1,Me is ki alamaat ko kis tarah munazam karsakti hun?,"aap apni mahvari se aik hafta pehlay werzish karna, namkeen khaano ko chhorna, aur caffeine ko kam karna chahtay hain. agar aap ka mood ab bhi mushkil hai to –apne dr se baat karen. woh aap ko dawa lainay ka mahswara day satke hain .

",,
Why do we get periods,"The body produces an egg every month. The uterus lining gets thicker to prepare for a egg that is fertilized in case the woman becomes pregnant. If the egg is not fertilized, the body gets rid of it. The lining is then released from the body as blood through the vagina. This monthly process is called menstruation or a period. So when a girl has her period, her body is just getting rid of a small amount of blood and some unneeded tissue. It is a natural, normal body process for all females as they become women and mature physically.",1,Hamay mahvari kuyn hoti hai?,"jism har mah aik anda peda karta hai. bacha daani/uterus ki parat aik anday ke liye tayyar karne ke liye mouti ho jati hai jo aurat ke haamla honay ki soorat mein khad daali jati hai. agar anday ko frtilayz nah kya jaye to jism is se nijaat paata hai. is ke baad Aster ko jism se khoon ke tor par andaam nihani/vagina ke zariye kharij kya jata hai. is mahana amal ko haiz ya muddat kaha jata hai. lehaza jab kisi larki ko mahvari hoti hai, to is ke jism se khoon ki thori si miqdaar aur kuch ghair zaroori tissues nikaltay hain. yeh tamam khawateen ke liye aik fitri, normal jismani amal hai kyunkay woh aurat ban jati hain aur jismani tor par baaligh hoti hain .",,
