Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
Yes I want to know the stages in the ovarian cycle,"The first stage is the follicular phase. It starts from the start of the period until ovulation.Throughout the menstrual cycle, there are multiple follicles (fluid filled sacs containing eggs) at different stages of development in both ovaries. The period ends about halfway through this phase. One follicle in one of the ovaries becomes the largest of all the follicles, called the dominant follicle and is the size of a grain of sand (1-2 cm). This follicle is the one prepared to be released at ovulation. For most people, the follicular phase lasts 10-22 days, but this can vary from cycle-to-cycle.

",haan mein beza daani/ovary ke chakkar ke marahil janna chahti hon .,"pehla marhala follicular marhala hai. yeh muddat ke aaghaz se beza daani/ovary tak shuru hota hai. mahvari ke poooray daur mein, dono beza daani/ovary mein nashonuma ke mukhtalif marahil mein aik se ziyada follicles ( anday par mushtamil seyal/fluid bharay thelay ) hotay hain. muddat is marhalay mein taqreeban nisf khatam ho jati hai. beza daani/ovary mein se aik mein aik patak tamam follicles mein sab se bara ban jata hai, jisay ghalib follicle kehte hain aur rait ke aik danay ( 1-2 centi meter ) ke size ka hota hai. yeh follicle woh hai jo ovulation ke waqt jari honay ke liye tayyar hota hai. ziyada tar logon ke liye, patak ka marhala 10-22 din tak rehta hai, lekin yeh cycle se cycle se mukhtalif ho sakta hai ."
What hormones are active in this follicular phase?,"The hormone active here is the follicle stimulating hormone (FSH). FSH tells the ovaries to prepare an egg for ovulation (release of an egg from the ovary). The dominant follicle produces estrogen as it grows, which peaks just before ovulation happens.",is follicular marhalay mein kon se hormones fa-aal hain ?,"yahan fa-aal hormone follicle stimulating hormone ( fsh ) hai. f s each beza daani/ovary se kehta hai ke beza daani/ovary ke liye aik anda tayyar karen ( beza daani/ovary se anday ka ikhraj ). ghalib follicle barhatay hi estrogen peda karta hai, jo beza ban'nay se ain pehlay urooj par pahonch jata hai ."
What happens after ovulation?,"After ovulation, this cycle is Luteal Phase. It occurs from ovulation until the start of the next period and lasts about 14 days, but between 9 and 16 days is common. After ovulation, the follicle that held the egg turns into something called a corpus luteum. It makes the hormones progesterone and estrogen to support pregnancy. If pregnancy does not happen, the corpus luteum breaks down between 9 and 11 days after ovulation. Else, progesterone supports early pregnancy if an egg and sperm connect. If no pregnancy happens, progesterone will peak and then drop. These hormonal changes can contribute to common premenstrual symptoms such as mood changes, headaches, acne, bloating, and breast tenderness. A drop in progesterone and estrogen causes menstruation.",ovulation ke baad kya hota hai,"ovulation ke baad, yeh cycle luteal marhala hai. yeh ovulation se agli muddat ke aaghaz tak hota hai aur taqreeban 14 din rehta hai, lekin 9 se 16 din ke darmiyan aam hai. beza daani/ovary ke baad, anday ko pakarney wala patak aik aisi cheez mein badal jata hai jisay corpus luteum kehte hain. yeh hormones progesterone aur estrogen ko hamal ko sahara dainay ke liye banata hai. agar hamal nahi hota hai to, corpus luteum ovulation ke 9 se 11 dinon ke darmiyan toot jata hai. basorat deegar, progesterone ibtidayi hamal ki himayat karta hai agar anda aur supreme aapas mein jurey hon. agar hamal nahi hota hai to, progesterone chouti aur phir gir jaye ga. yeh hormonal tabdeelian mahvari se pehlay ki aam alamaat jaisay mood mein tabdeeli, sir dard, mahasay, aphara, aur chhaati ki narmi mein hissa daal sakti hain. progesterone aur estrogen mein kami mahvari ka sabab banti hai ."
Can I ask you general questions regarding periods?,Yes! Don't hesisate at all because that is what I am here for. ,kya mein aap se mahvari se mutaliq umomi sawalaat pooch sakti hon ?,jee haan! bilkul hichkichahat mat karo kyunkay mein isi ke liye yahan hon .
Why can my period change?,"Periods fluctuate when they first start. If you’ve had your period for a few years, it should generally be about the same length and volume each cycle. You may still notice changes from time to time, such as the heaviness and length of your period which can fluctuate, depending on your hormones. Hormones can change temporarily because of things like stress, diet, or taking an emergency contraception pill.  Your period will also have variations if you don’t ovulate each cycle—you may miss a period, or come later than usual, and/or be heavier/lighter and shorter/longer than your usual. Not ovulating during each cycle is common during adolescence and perimenopause, and is a common cause of temporarily absent and/or heavy menstrual periods.",meri mahwaari kyun badal sakti hai ?,"mahvari mein utaar charhao aata hai jab woh pehli baar shuru hotay hain. agar aap ki mahvari kuch saloon se guzar rahi hai, to yeh aam tor par har aik cycle ki lambai aur hajam ke barabar hona chahiye. aap ab bhi waqtan foqatan tabdeelian mehsoos kar satke hain, jaisay aap ke hormones ke lehaaz se aap ki muddat ka wazan aur Tawalat jo utaar charhao ka shikaar ho sakti hai. tanao, khoraak, ya hungami Maney hamal goli /contraceptive pilllainay jaisi cheezon ki wajah se hormones earzi tor par tabdeel ho satke hain. agar aap har daur mein beza nahi karte hain to aap ki muddat mein bhi tagayuraat hon ge — aap ko aik period chhuut sakta hai, ya mamool se baad mein aata hai, aur / ya aap ke mamool se ziyada bhaari / halka aur chhota / lamba ho sakta hai. har chakkar ke douran beza nah hona jawani aur peeri menopause ke douran aam hai, aur yeh earzi tor par ghair haazir aur / ya mahvari ke bhaari honay ki aik aam wajah hai ."
"Okay, bye","Take care, bye","theek hai, alwida","apna khayal rakhe, alwida"
"Hello, I have some questions","Hello! My name is Mai, how can I help you today?","Hello, mere kuch sawalaat hai","hello! mera naam maai hai, aaj mein aap ki madad kaisay kar sakti hon ?"
Can periods fluctuate because of health conditions?,"Yes, periods can also fluctuate because of certain health conditions, like uterine polyps, fibroids, or PCOS—conditions that should be addressed with your healthcare provider. Certain bleeding conditions and medications can also affect menstrual bleeding.",kya sehat ke halaat ki wajah se mahvari mein utaar charhao aa sakta hai ?,"haan, baaz sehat ki halaton ki wajah se bhi mahvari mein utaar charhao aa sakta hai, jaisay uterine polyps, fertilized, ya pcos — aisi halatain jin par aap ke health care provider ya doctor se tawajah di jani chahiye. khoon behnay ke baaz halaat aur adwiyaat bhi mahvari ke khoon ko mutasir kar sakti hain ."
Do you suggest if I should track my period or not,"Tracking your period can help you understand the patterns of symptoms that you experience throughout your menstrual cycle—from pain, to cravings, to sex drive. Tracking can give you a better idea of when you are fertile, which may be helpful if you’re trying to become pregnant.",kya aap tajweez karte hain ke mujhe apni muddat ko track karna chahiye ya nahi ?,"apni mahvari ka suraagh laganay se aap ko un alamaat ke namonon ko samajhney mein madad mil sakti hai jo aap –apne mahvari ke douran mehsoos karte hain — dard se le kar khwahisaat tak, jinsi khwahish tak. tracking aap ko behtar andaza day sakti hai ke aap kab zarkhaiz hain, jo madadgaar saabit ho sakta hai agar aap haamla honay ki koshish kar rahay hain ."
What are irregular cycle lengths,"For adolescents, the cycles outside the range of 21–45 days and for adults, cycles outside the range of 24–38 day or cycles that vary in length by more than 7–9 days (for example, a cycle that is 27 days long one month, 42 the next). If periods that suddenly stop for more than 90 days (exceptions include pregnancy, menopause, and recently discontinued hormonal birth control), this counts as irregular cycle length too. Do you want to know why ",fasid cycle ki lambai kya hain ?,"nau umaron ke liye, 21–45 din ki had se bahar aur balighon ke liye, 24–38 din ki had se bahar ke cycle ya aisay cycle jin ki lambai 7–9 din se ziyada hoti hai ( misaal ke tor par, aik cycle jo 27 din ka hota hai. aik maheena, 42 agla ). agar mahvari achanak 90 dinon se ziyada ruk jati hai ( istasna mein hamal, rajonooti, aur haal hi mein band hormonal birth control shaamil hain ), is ka shumaar bhi cycle ki be qaidgi ke tor par kya jata hai. kya aap janna chahtay hain kyun ?"
yes please,"Here are some of the more common reasons that cycles become irregular. Different causes lead to different types of irregularities.

Life stages and pregnancy
When your cycle come to an end
Pregnancy
Theperiod after pregnancy
Breastfeeding
Recurrent miscarriages
Sleep disorders
Physical or emotional changes
Chronic stress
Intensive exercise
Substance use/abuse
Quick weight changes
Eating disorders
Certain medications 
Polycystic ovary syndrome
Thyroid disorders
Unmanaged diabetes
Uterine polyps
Uterine fibroids
Certain cancers or benign tumors
",jee haan baraye meharbani,"yahan kuch aam wajohaat hain jin ki wajah se cycle be qaida ho jatay hain. mukhtalif wajohaat mukhtalif qisam ki be qaadgyon ka baais banti hain .
 
 zindagi ke marahil aur hamal
 jab aap ka cycle khatam hojaye
 hamal
 hamal ke baad ki muddat
 doodh pilana
 baar baar isqaat hamal
 neend ki kharabi
 jismani ya jazbati tabdeelian
 daimi tanao
 shadeed werzish
 maday ka istemaal
 wazan mein fori tabdeelian
 khanay ki kharabi
 baaz adwiyaat
 poli stick ovary sndrom
 تائرواڈ ki kharabi
 ghair munazzam diabities
 yotrn polyps
 uterine fibroids
 kuch cancer ya somi tumor"
Why do irregular periods matter,"Cycles that are continually irregular can have a serious impact on short- and long-term health. They can lead to a wide range of more serious health conditions, and cause distressing symptoms. Menstrual cycle health is related to your heart health, metabolism, sleep, fertility, and more. This is why it's important to have any potential issues diagnosed as early as possible, and managed with the help of a healthcare provider.",be qaida mahvari kyun ahmiyat rakhti hai .,"cycle jo musalsal be qaida hotay hain mukhtasir aur taweel mudti sehat par sangeen assar daal satke hain. woh sehat ki ziyada sangeen halaton ki aik wasee range ka baais ban satke hain, aur pareshan kin alamaat ka sabab ban satke hain. mahvari ki sehat ka talluq aap ke dil ki sehat, metabolism, neend, zarkhaizi aur bohat kuch se hai. is liye yeh zaroori hai ke kisi bhi mumkina masail ki jald az jald tashkhees ki jaye, aur sehat ki dekh bhaal faraham karne walay ki madad se un ka intizam kya jaye ."
"That is it, thank you","You're welcome, have a nice day!","yeh hai, shukriya","aap ka istaqbaal hai, aap ka din acha guzray !"
Hi,"Hello, how are you doing today?",hey,kya haal hai? aajkal kya ho raha hai ?
Tell me an interesting thing about periods,"That is an interesting question. Did you know, you will spend nearly 10 years of your life on your period.",mahvari ke baray mein aik dilchasp baat bitayen,"yeh aik dilchasp sawal hai. kya aap jantay hain, aap apni zindagi ke taqreeban 10 saal apni mahvari par guzaraian ge ."
Interesting,Would you like to know anything else,dilchasp,kya aap kuch aur janna chahain ge ?
"yes, I am worried my period is late","A lot of people feel concerned when their periods don’t show up on time, so I understand why you might be worried. However, there’s no need to worry just yet. There could be a number of reasons as to why your period might be late. These could include:

Stress
Travel
Diet
Illness
Medication
Birth control
Keeping track of changes to your lifestyle and environment can help you pinpoint why you might be experiencing variations in your menstrual cycle. Doing this daily can help you become more aware of what’s happening and let you know if there’s anything you should bring up with your healthcare provider.","haan, mujhe fikar hai ke meri mahvari der se hai .","bohat se log fikar mand hotay hain jab un ke mahvari waqt par zahir nahi hoti hai, lehaza mein samjhta hon ke aap kyun pareshan ho satke hain. taham, abhi tak fikar karne ki zaroorat nahi hai. aap ki mahvari mein der kyun ho sakti hai is ki kayi wajohaat ho sakti hain. un mein shaamil ho sakta hai :
 
 tanao
 safar
 khoraak
 bemari
 ilaaj
 birth control
 –apne tarz zindagi aur mahol mein honay wali tabdeelion par nazar rakhnay se aap ko is baat ki nishandahi karne mein madad mil sakti hai ke aap ko mahvari ke douran mukhtalif tabdeelion ka saamna kyun ho sakta hai. rozana aisa karne se aap ko kya ho raha hai is ke baray mein mazeed aagahi haasil karne mein madad mil sakti hai aur aap ko yeh bitanay mein madad mil sakti hai ke kya aap ko –apne health care faraham kanandah ke sath kuch bhi lana chahiye ."
"What about vaginal discharge, what is that?","Vaginal discharge is any non-period fluid that leaves your vagina. It is mostly water. There are also tiny microorganisms, including bacteria, present. This discharge helps the body remove old cells from the vagina and protects vaginal tissues from infection. Vaginal discharge changes in the way it looks and feels throughout the cycle.

Discharge can include vaginal lubrication, arousal fluid, semen after having sex, and cervical fluid, or possibly discharge from bacterial growth or an infection. 

You may notice more or less vaginal discharge throughout your cycle and during different stages of your life, such as after giving birth or during menopause.  ","andaam nihani/vagina kharij honay walay madah/fluid ke baray mein kya hai, yeh kya hai ?","andaam nihani/vagina se kharij honay wala madah/fluid koi bhi ghair mudti seyal/fluid hai jo aap ki andaam nihani/vagina se nikalta hai. yeh ziyada tar pani hai. bacteria samait chhootey chhootey microorganisms bhi mojood hain. yeh madah/fluid jism ko andaam nihani/vagina se puranay khalion ko nikaalte mein madad karta hai aur andaam nihani/vagina ke tissues ko infection se bachata hai. andaam nihani/vagina se kharij honay wala madah/fluid poooray chakkar ke douran is ke dikhne aur mehsoos karne ke andaaz mein badal jata hai .
 
 kharij honay walay madah/fluid mein andaam nihani/vagina ki phislan, hosla afzai ka seyal/fluid, jinsi taluqaat ke baad money, aur cervical seyal/fluid, ya mumkina tor par bacteria ki afzaish ya infection se kharij honay wala madah/fluid shaamil ho sakta hai .
 
 aap –apne poooray chakkar mein aur apni zindagi ke mukhtalif marahil ke douran kam ya ziyada andaam nihani/vagina se kharij honay walay madah/fluid ko dekh satke hain, jaisay ke paidaiesh ke baad ya rajonooti ke douran ."
"You mentioned cervical fluid, this is the first time I read it. What is that","Cervical fluid is produced by the cells of your cervix. The cervix is the opening to the uterus from the vagina. Cervical fluid can change throughout your cycle from thick, creamy, and sticky to thin, wet, and slippery. 

When the hormone estrogen increases right before ovulation, cervical fluid thins. This makes it easier for sperm to move through the cervix. This thinning may make it look like there is an increase in discharge and it may seem stretchier. When the hormone progesterone increases, cervical mucus thickens.","aap ne cervical fluid ka zikar kya, yeh mein ne pehli baar parha. woh kya hai","garewa seyal/fluid aap ke garewa ke khaliyaat ke zareya tayyar kya jata hai. garewa andaam nihani/vagina se bacha daani/uterus ka khilna hai. garewa seyal/fluid aap ke poooray daur mein mouti, kareemi, aur chip chapa se patli, geelay aur phislan mein tabdeel ho sakta hai .
 
 jab beza daani/ovary se pehlay hormone estrogen barh jata hai to cervical seyal/fluid patla hojata hai. is se supreme ko garewa ke zariye muntaqil karna aasaan ho jata hai. yeh patla honay se aisa lagta hai jaisay kharij honay walay madah/fluid mein izafah sun-hwa hai aur yehstretcher lag sakta hai. jab hormone progestrone barhta hai to cervical balgham gaarha ho jata hai ."
I would also like to know what is arousal fluid,"Lubrication fluid is filtered from blood plasma (the liquid part of blood minus the blood cells) (Pastor). Sexual arousal (excitement) causes extra blood to flow to the tissue of the vagina. There is more pressure in the swollen tissue and this causes the fluid to be pushed to the surface of the vaginal walls. This increase in moisture, or “wetness”, is vaginal lubrication or arousal fluid.",mein yeh bhi janna chahoon gi ke arousal seyal/fluid kya hai ?,"chikna seyal/fluid khoon ke plasma ( khoon ka maya hissa minus khoon ke khaliyaat ) ( paadri ) se flutter kya jata hai. jinsi josh ( josh ) andaam nihani/vagina ke bafton mein izafi khoon behnay ka sabab bantaa hai. sooji hui bafton mein ziyada dabao hota hai aur is ki wajah se seyal/fluid andaam nihani/vagina ki dewaron ki satah par dhkilta hai. nami mein yeh izafah, ya"" geela pan "", andaam nihani/vagina ki chikna ya hosla afzai ka seyal/fluid hai ."
"I am confused, are female ejaculation and squirting the same thing?","No, they’re not. Female ejaculate is the release of a few milliliters of thick white fluid that is released from the urethra. It is not urine. Some people with vulvas report ejaculation happening before or after and with or without orgasm.

Squirting is the release of clear fluid from the urethra, usually during orgasm or high arousal. The fluid in squirting is similar to urine and comes from the bladder. Both can happen at the same time. Not everyone will experience them and that’s normal too.","mein uljan mein hon, kya khawateen ka inzaal/ejaculate aur squirting aik hi cheez hai ?","nahi, woh nahi hain. zanana inzaal/ejaculate chand mili letter motay safaid seyal/fluid ka ikhraj hai jo pishaab ki naali se kharij hota hai. yeh pishaab nahi hai. vulvas ke sath kuch log orgasm se pehlay ya baad mein aur orgasm ke sath ya is ke baghair honay ki ittila dete hain .
 
 squirting pishaab ki naali se saaf seyal/fluid ka ikhraj hai, aam tor par orgasm ya ziyada josh ke douran. squirting mein seyal/fluid pishaab ki terhan hai aur masanay se aata hai. dono aik hi waqt mein ho satke hain. har koi un ka tajurbah nahi kere ga aur yeh mamool bhi hai ."
I have questions,"Hello, sure. How can I help?",mere paas sawalaat hain .,"hello, zaroor. mein kis terhan madad kar sakta hon ?"
Does sex affect vaginal discharge?,"Before, during, and after sex, you may notice your vagina feels wetter. This can be due to arousal fluid, lube, or if you had penis-in-vagina sex without a condom, semen. You may notice semen coming out of the vagina right after sex or during the hours following sex. Semen is usually a gray-white, cloudy, jelly-like liquid. Spotting after sex could happen because of dryness or irritation, but it could also be caused by your cervix being swollen from an infection.",kya jinsi andaam nihani/vagina ke kharij honay walay madah/fluid ko mutasir karta hai ?,"jinsi taluqaat se pehlay, douran aur baad mein, aap dekh satke hain ke aap ki andaam nihani/vagina giili mehsoos hoti hai. yeh hosla afzai ke seyal/fluid, chiknai, ya agar aap ne kndom, money ke baghair uzoo tanasul mein andaam nihani/vagina jinsi taluqaat ki wajah se ho sakta hai. aap sex ke foran baad ya sex ke baad ke ghanton ke douran andaam nihani/vagina se money nikaltay dekh satke hain. money aam tor par aik surmai safaid, abr alood, jelly jaisa maya hota hai. jinsi taluqaat ke baad dhabbay khushki ya jalan ki wajah se ho satke hain, lekin yeh infection se aap ke garewa ke soojan ki wajah se bhi ho sakta hai ."
My doctor suggested birth controls. Will they affect vaginal discharge?,"Hormonal birth control can affect vaginal discharge. Birth control that contains progestin (a synthetic version of the hormone progesterone) can make cervical fluid thicker, which makes it harder for sperm to get through the cervix. If you are having this kind of birth control, then you may see thicker or less vaginal discharge because of this",mere dr ne paidaiesh par qaboo panay ka mahswara diya. kya woh andaam nihani/vagina se kharij honay walay madah/fluid ko mutasir karen ge ?,"hormonal birth control andaam nihani/vagina se kharij honay walay madah/fluid ko mutasir kar sakta hai. birth control jis mein progestin hota hai ( hormone progestrone ka aik masnoi version ) garewa ke ratobat ko gaarha bana sakta hai, jis ki wajah se supreme ke liye garewa ke zariye jana mushkil ho jata hai. agar aap is qisam ka birth control kar rahay hain, to aap ko is ki wajah se andaam nihani/vagina se ziyada gaarha ya kam ikhraj nazar aa sakta hai ."
Do pregnancy and breastfeeding affect vaginal discharge?,"Changing levels of the hormone estrogen during pregnancy, postpartum (after birth), and breastfeeding can cause vaginal dryness for some people. But worry not, using a lubricant can help make sex more pleasurable or comfortable if vaginal dryness is bothersome. Your healthcare provider can talk to you about more treatments for vaginal dryness such as synthetic estrogen (estradiol) hormone cream. ",kya hamal aur doodh pilana andaam nihani/vagina se kharij honay walay madah/fluid ko mutasir karta hai ?,"hamal, baad az paidaiesh ( paidaiesh ke baad ) aur doodh pilanay ke douran hormone estrogen ki satah mein tabdeeli kuch logon ke liye andaam nihani/vagina ki khushki ka sabab ban sakti hai. lekin pareshan nah hon, agar andaam nihani/vagina ki khushki pareshan kin ho to chikna karne wala istemaal jinsi ko ziyada Khushgawar ya aaraam da bananay mein madad kar sakta hai. aap ka sehat ki dekh bhaal faraham karne wala aap se andaam nihani/vagina ki khushki ke mazeed ilaaj jaisay masnoi estrogen ( estradiol ) hormone kareem ke baray mein baat kar sakta hai ."
Can menstrual cycle affect vaginal discharge,"Yes it can! The menstrual cycle and related hormones can affect vaginal discharge. These changes may show up differently for you, or you may experience or interpret them in a different way. 
",kya mahvari andaam nihani/vagina se kharij honay walay madah/fluid ko mutasir karti hai .,"haan yeh ho sakta hai! mahvari aur mutaliqa hormones andaam nihani/vagina se kharij honay walay madah/fluid ko mutasir kar satke hain. yeh tabdeelian aap ke liye mukhtalif tareeqay se zahir ho sakti hain, ya aap un ka tajurbah ya tashreeh mukhtalif tareeqay se kar satke hain ."
How does that happen,"During your periods, it will be in the form of bleeding (menstruation). On day one of the cycle, the first day of your period, levels of both estrogen and progesterone are low. The cervix is not producing much fluid at this time, but this won’t be noticed much since there is period bleeding.",aisa kaisay hota hai .,"aap ki mahvari ke douran, yeh khoon behnay ( haiz ) ki soorat mein hoga. cycle ke pehlay din, aap ki mahvari ke pehlay din, estrogen aur progestronee dono ki satah kam hoti hai. garewa is waqt ziyada seyal/fluid peda nahi kar raha hai, lekin is par ziyada tawajah nahi di jaye gi kyunkay douran khoon beh raha hai ."
What about vaginal discharge once periods end,"Just after a periods, the discharge is absent and dry. Estrogen is produced by a small sac in the ovary holding an egg, called a follicle. Estrogen slowly increases after the period ends. There may be less cervical fluid for a couple of days after your period ends until estrogen increases again. In fact, it also changes after periods and before ovulation.",mahvari khatam honay ke baad andaam nihani/vagina se kharij honay walay madah/fluid ka kya hoga ?,"sirf aik muddat ke baad, madah/fluid gayab aur khushk hai. estrogen beza daani/ovary mein aik choti si theli se peda hota hai jis mein anday hotay hain, jisay follicle kehte hain. muddat khatam honay ke baad estrogen aahista aahista barhta hai. aap ki mahvari khatam honay ke baad chand dinon tak cervical fluid kam ho sakta hai jab tak ke estrogen dobarah nah barh jaye. dar haqeeqat, yeh mahvari ke baad aur beza daani/ovary se pehlay bhi badal jata hai ."
How,"The days between your period and ovulation, this discharge will become sticky, white and creamy. Estrogen levels are rising quickly now and the cervix produces more fluid. At first, discharge may look thick and sticky. Then it may become more wet and creamy, like a lotion. Discharge during this time can look whitish and cloudy, or even yellowish (especially if it’s dry on your underwear). In a 28-day menstrual cycle, you may first notice this fluid around day nine or ten. This is just an estimate. People have different cycle lengths and ovulation can vary from cycle to cycle, even in people who feel their cycles are predictable",kaisay,"aap ki mahvari aur beza daani/ovary ke darmiyan ke dinon mein yeh madah/fluid chip chapa, safaid aur kareemi ho jaye ga. estrogen ki satah ab taizi se barh rahi hai aur garewa ziyada seyal/fluid peda karta hai. sab se pehlay, madah/fluid mota aur chip chapa lag sakta hai. phir yeh aik lotion ki terhan ziyada geela aur kareemi ho sakta hai. is waqt ke douran kharij honay wala madah/fluid safaid aur abr alood, ya yahan tak ke zard nazar aasakta hai ( khaas tor par agar yeh aap ke zair jama par khushk ho ). 28 din ke mahvari ke chakkar mein, aap sab se pehlay din no ya das ke ird gird is seyal/fluid ko mehsoos kar satke hain. yeh sirf aik andaza hai. logon ki cycle ki lambai mukhtalif hoti hai aur ovulation aik cycle se mukhtalif ho sakta hai, yahan tak ke un logon mein bhi jo mehsoos karte hain ke un ke chakron ka andaza lagaya ja sakta hai ."
