Intent,Response,Relevance,,Index,,,,,,,,,,,
What are Autoimmune disorders?,The body’s immune system may attack the normal tissues leading to issues in the reproductive organs. This can be treated by proper medication.,0.5,,,,,,,,,,,,,
What should I do if I have any of these issues?,Your next step should be to visit a doctor and get a consultation for your condition so that you can be correctly guided onto the right path.,1,,,,,,,,,,,,,
Do I need to visit a doctor if I have any of these issues?,Yes. It is important that you visit a doctor so that you can be correctly diagnosed.,1,,,,,,,,,,,,,
How do i know if i am having fertility issues?,How long has it been since you started trying to get pregnant?,0.5,,,,,,,,,,,,,
I want to know about my Fertility Treatment Options,"There are many fertility treatment options that you can explore, including Assisted Reproductive Technology (ARF), Adoption and some other treatment options. What Do You Want To Know About?",0,,,,,,,,,,,,,
What is Assisted Reproductive Technology?,"Assisted Reproductive Technology (ART) in which the sperm and egg are handled for better fertilization. Usually IUI will be the preferred fertility treatment and if IUI doesn’t bring results, the doctor will recommend IVF.
What do you want to know about?
",0,,,,,,,,,,,,,
What is Adoption?,"If you or partner have fertility issues that wasn’t resolved after going through all the treatment options, then adopting a child will be the most fulfilling. Visit the government website for adoption (CARA) or visit your nearest adoption agency for more details.",0,,,,,,,,,,,,,
What are my Alternate Treatment Options?,"Apart from the ART treatments, there are several non invasive treatment options for both male and female infertility issues including Homeopathy, Yoga, and Ayurveda. The solution for fertility issues is not a single treatment. A combination of treatments will help to get pregnant.",0,,,,,,,,,,,,,
What is Homeopathy?,Some fertility issues can be treated by homeopathy treatment taken religiously for a few months. Connect with us now for more guidance for fertility treatment.,0.5,,,,,,,,,,,,,
What is Yoga?,There are certain yoga techniques that have been found to boost the fertility and resolve any reproductive issues. It also relieves stress which is a major basis for infertility problems.Speak with a specialist to know more about how yoga can help you.,0.5,,,,,,,,,,,,,
What is Ayurveda?,"Ayurvedic medicines and ayurvedic treatments along with yoga can help greatly help with restoring both ,male and female fertility.",0.5,,,,,,,,,,,,,
What disturbs Female Fertility?,There are many conditions that could disturb a woman’s fertility. If you have been diagnosed for any fertility issues then you should visit a doctor.,0.5,,,,,,,,,,,,,
I haven’t yet visited the doctor to test my fertility. How can I know if I have infertility issues?,"Is your menstrual cycle irregular?
Do you consume alcohol or smoke tobacco?
Are you overweight or underweight?
If your answer ‘yes’ to any of the questions above, then you may probably have some fertility issues.It is high time to contact a fertility specialist to check out. Do you want an online consultation with a fertility specialist?
",0.5,,,,,,,,,,,,,
,,,Are you having sex at the right time?,,,,,,,,,,,,
